stop_id,stop_name,lat,lon,region,metro,degree,stranded_nodes,component_size
35356,שער הגלבוע/אתר הסקי,32.552202,35.333503,North,Periphery,6,39,30237
11156,קיבוץ צובה,31.783427,35.118689,Jerusalem,Jerusalem,4,36,30237
37358,תל אביב מרכז,32.083715,34.798247,Center,Tel Aviv,4,33,67
7935,טורקיז/ענבר,31.962056,35.065781,Center,Periphery,6,29,30237
37292,תל אביב ההגנה,32.053978,34.784839,Center,Tel Aviv,8,27,67
17861,אדמית מרכז,33.079481,35.211363,North,Periphery,4,23,30237
11147,בית חולים,31.778627,35.096161,Jerusalem,Jerusalem,4,22,30237
50832,האלון/הרימון,32.619844,35.074935,North,Haifa,4,21,30237
11221,קיבוץ מעלה החמישה,31.818536,35.111899,Jerusalem,Jerusalem,4,19,30237
11227,צומת אורה,31.757147,35.159936,Jerusalem,Jerusalem,9,19,30237
