from_stop_id,to_stop_id,scheduled_trip_segments
37358,37350,377
37350,37292,377
37292,37350,374
37350,37358,374
37360,37358,338
37358,37360,334
37380,37378,194
37378,37376,194
37378,37380,191
37376,37378,191
37362,37360,162
37360,37362,160
37388,37380,145
37380,37388,140
37292,37306,136
37306,37292,135
37386,37388,132
41293,37392,130
37392,37386,130
37388,37386,130
37386,37392,127
37392,41293,127
37324,37326,122
37326,37324,120
37396,37394,120
37394,37396,113
37312,37314,110
37314,37312,109
37354,37356,109
37302,37352,109
37304,37302,109
37356,37360,109
37296,37304,109
37362,42417,109
37352,37354,109
37302,37304,108
37304,37296,108
37356,37354,108
37352,37302,108
37360,37356,108
37354,37352,108
42417,37362,108
42416,37296,107
42417,42416,107
42416,42417,105
37296,42416,105
37326,37300,97
37294,37300,97
37344,37346,97
37300,37294,97
37300,37326,97
37346,37344,97
37382,37384,95
37384,41293,95
41293,37384,92
37384,37382,92
37374,37376,84
37306,37396,84
37364,37362,82
37376,37374,81
37362,37364,81
37396,37306,78
37290,37324,76
39260,38643,76
38643,37290,76
38643,39260,75
37324,37290,75
37314,39260,75
37290,38643,75
39260,37314,74
37366,37368,68
37372,37360,67
37368,37366,67
37360,37372,66
37306,42286,62
42286,37306,62
41291,41293,61
41292,41291,61
41293,41291,60
41291,41292,60
40582,40581,55
40583,40582,55
37292,37348,54
37342,37294,54
37348,37346,54
37344,37342,54
37294,37342,53
37342,37344,53
37348,37292,53
37346,37348,53
37336,37338,52
37330,37332,52
37338,37330,52
37370,37372,51
37370,37368,51
40582,40583,51
37292,37340,51
40581,40582,51
37372,37370,51
37368,37370,51
37340,37292,50
37332,37330,50
37338,37336,50
37330,37338,50
42507,37380,49
40640,37366,48
37334,37338,48
37364,40640,48
40640,37364,48
37338,37334,48
37366,40640,48
37374,37372,47
37380,42507,46
37294,37344,44
37346,37292,44
37340,37338,44
37372,37374,43
37372,37376,43
37344,37294,43
37292,37346,43
37292,37334,41
37338,37340,41
37376,37372,39
37334,37292,39
37328,37332,37
37326,37328,37
37292,37338,37
42286,37396,36
37338,37292,35
37396,42286,35
37332,37328,35
37328,37326,35
37366,37364,34
40581,40584,34
37364,37366,33
40584,40581,32
37358,37362,31
37306,37358,31
40584,42507,31
42507,40584,30
37298,37338,30
37362,37358,29
37338,37298,29
37358,37306,29
37316,37308,28
37308,37314,28
42418,37336,27
37314,37308,27
37308,37316,27
42419,42418,27
37316,42419,27
37322,37336,25
37336,42418,25
42419,37316,25
37336,37322,25
42418,42419,25
40581,42507,18
42507,40581,17
37362,37366,17
41293,37388,17
37388,41293,17
37368,37372,17
37366,37362,16
37372,37368,16
37292,37294,13
37338,37332,12
37332,37338,11
37380,41293,11
37376,37380,11
37294,37292,11
37338,37316,10
37376,37362,10
37362,37376,10
37380,37376,9
41293,37380,9
37334,37340,9
37372,37362,8
37310,37314,8
37316,37338,8
37314,37316,8
37376,37368,8
37314,37310,8
37362,37368,8
37368,37376,8
37368,37362,8
37362,37372,7
37316,37314,7
37340,37334,7
40584,37380,3
37296,42417,3
37386,41293,3
40581,37380,3
42417,37296,2
37380,40581,2
41293,37386,2
37380,40584,2
37332,37326,1
