stop_id,stop_code,stop_name,stop_lat,stop_lon,scheduled_stop_calls,degree,weighted_degree,in_degree,out_degree,pagerank,betweenness,harmonic,is_articulation_point,community_id,stations_outside_largest_component,components,socio_locality,socio_cluster,socio_index_value,socio_population,socio_join_method,socio_join_distance_m,region,metro,socio_group,degree_percentile,weighted_degree_percentile,pagerank_percentile,betweenness_percentile,harmonic_percentile,stations_outside_largest_component_percentile,composite_centrality_score,top_quintile_centrality_count,station_archetype
37292,17104,תל אביב ההגנה,32.053978,34.784839,752,8,1493,8,8,0.039442720553461,0.5378399378399379,0.3633658008658008,True,5,27,2,תל אביב -יפו,5.0,-0.102911329855738,1509.21367468053,within,0.0,מרכז,תל אביב,Middle (clusters 5–7),0.9850746268656716,0.9701492537313433,1.0,1.0,0.9850746268656716,0.9285714285714286,98.80597014925372,5,critical high-service hub
37362,17034,הרצליה,32.163558,34.817406,599,8,846,8,8,0.0224288901860321,0.5146076146076145,0.3639610389610389,False,6,0,1,הרצלייה,9.0,2.25841837043018,5295.81155323167,within,0.0,מרכז,תל אביב,Higher (clusters 8–9),0.9850746268656716,0.9402985074626866,0.8805970149253731,0.9850746268656716,1.0,0.0,95.82089552238806,5,redundant high-service hub
37338,17058,לוד,31.947694,34.879159,313,8,557,8,8,0.0297387835195241,0.3982128982128982,0.3545454545454544,True,1,1,2,לוד,3.0,-0.902674878032929,1662.75243738603,within,0.0,מרכז,תל אביב,Lower (clusters 2–4),0.9850746268656716,0.835820895522388,0.9402985074626866,0.9552238805970149,0.9701492537313433,0.25,93.7313432835821,5,critical high-service hub
37358,17038,תל אביב מרכז,32.083715,34.798247,815,4,1543,4,4,0.0313724377148092,0.5086247086247087,0.3303391053391054,True,5,33,2,תל אביב -יפו,9.0,2.40205651738912,2685.13943515176,within,0.0,מרכז,תל אביב,Higher (clusters 8–9),0.8059701492537313,1.0,0.9701492537313433,0.9701492537313433,0.9402985074626866,1.0,93.73134328358208,5,critical high-service hub
37380,17016,חיפה מרכז,32.822306,34.997177,414,7,815,7,7,0.0256390554638876,0.3398601398601398,0.3206409331409329,True,2,13,3,חיפה,3.0,-0.785908919490283,1288.33972412974,within,0.0,צפון,חיפה,Lower (clusters 2–4),0.9552238805970149,0.9253731343283582,0.9104477611940298,0.9253731343283582,0.9104477611940298,0.7857142857142857,92.53731343283582,5,critical high-service hub
37376,17020,חוף הכרמל,32.7936,34.957404,405,6,688,6,6,0.0203543201439363,0.364180264180264,0.3336700336700336,True,2,15,2,חיפה,3.0,-0.951170372313641,365.091615264954,nearest,64.97508896171381,צפון,חיפה,Lower (clusters 2–4),0.9253731343283582,0.8955223880597015,0.835820895522388,0.9402985074626866,0.9552238805970149,0.8571428571428571,91.04477611940298,5,critical high-service hub
37360,17036,תא אוניברסיטה,32.103516,34.804499,672,4,1344,4,4,0.0297984495654739,0.1101787101787102,0.3119408369408369,False,5,0,1,תל אביב -יפו,5.0,-0.243753629502442,1708.79143720968,within,0.0,מרכז,תל אביב,Middle (clusters 5–7),0.8059701492537313,0.9552238805970149,0.9552238805970149,0.835820895522388,0.8805970149253731,0.0,88.65671641791045,5,redundant high-service hub
37306,17090,נתב''ג,32.00036,34.870481,331,4,617,4,4,0.0181628046214951,0.31002331002331,0.3289682539682537,True,5,3,2,צפרייה,7.0,0.73132490764149,1034.71750916914,nearest,627.531862012915,מרכז,תל אביב,Middle (clusters 5–7),0.8059701492537313,0.8656716417910447,0.8208955223880597,0.9104477611940298,0.9253731343283582,0.6428571428571429,86.56716417910448,5,critical high-service hub
41293,17117,קרית מוצקין,32.833133,35.07003,316,6,624,6,6,0.0231804244383073,0.1589743589743589,0.281747124928943,True,4,4,3,חיפה,5.0,-0.190516231965654,5900.40281695704,within,0.0,צפון,חיפה,Middle (clusters 5–7),0.9253731343283582,0.8805970149253731,0.8955223880597015,0.8656716417910447,0.7611940298507462,0.7142857142857143,86.56716417910447,4,critical high-service hub
37350,17046,השלום,32.073346,34.793256,751,2,1502,2,2,0.0320191742269758,0.2219114219114219,0.3049783549783548,False,5,0,1,תל אביב -יפו,9.0,2.35016488089273,649.0730421446,within,0.0,מרכז,תל אביב,Higher (clusters 8–9),0.3358208955223881,0.9850746268656716,0.9850746268656716,0.8955223880597015,0.8507462686567164,0.0,81.04477611940298,4,redundant high-service hub
37314,17082,באר שבע צפון,31.262089,34.809287,235,5,454,5,5,0.0290780465845947,0.1132867132867132,0.2590985613712885,True,3,2,3,באר שבע,2.0,-1.68997811864509,2981.70507643238,within,0.0,דרום,באר שבע,Lower (clusters 2–4),0.8880597014925373,0.746268656716418,0.9253731343283582,0.8507462686567164,0.6119402985074627,0.5357142857142857,80.44776119402985,3,structural bottleneck
