stop_id,stop_code,stop_name,stop_lat,stop_lon,scheduled_stop_calls,degree,weighted_degree,in_degree,out_degree,pagerank,betweenness,harmonic,is_articulation_point,community_id
37358,17038,תל אביב מרכז,32.083715,34.798247,815,4,1543,4,4,0.03137243771480922,0.5086247086247087,0.33033910533910543,True,5
37350,17046,השלום,32.073346,34.793256,751,2,1502,2,2,0.0320191742269758,0.2219114219114219,0.30497835497835485,False,5
37292,17104,תל אביב ההגנה,32.053978,34.784839,752,8,1493,8,8,0.039442720553461014,0.5378399378399379,0.3633658008658008,True,5
37360,17036,תא אוניברסיטה,32.103516,34.804499,672,4,1344,4,4,0.029798449565473905,0.11017871017871023,0.31194083694083696,False,5
37362,17034,הרצליה,32.163558,34.817406,599,8,846,8,8,0.02242889018603218,0.5146076146076145,0.36396103896103893,False,6
37380,17016,חיפה מרכז,32.822306,34.997177,414,7,815,7,7,0.025639055463887655,0.33986013986013985,0.3206409331409329,True,2
37378,17018,בת גלים,32.830498,34.981888,385,2,770,2,2,0.02242268499325526,0.0,0.2663480038480038,False,2
37376,17020,חוף הכרמל,32.7936,34.957404,405,6,688,6,6,0.02035432014393639,0.36418026418026406,0.33367003367003367,True,2
41293,17117,קרית מוצקין,32.833133,35.07003,316,6,624,6,6,0.02318042443830737,0.15897435897435896,0.28174712492894305,True,4
37306,17090,נתב''ג,32.00036,34.870481,331,4,617,4,4,0.018162804621495148,0.31002331002331,0.32896825396825374,True,5
37388,17008,מרכזית המפרץ/קו החוף,32.793921,35.037079,298,3,581,3,3,0.01799670903880409,0.013752913752913752,0.25396934715116526,False,4
37338,17058,לוד,31.947694,34.879159,313,8,557,8,8,0.029738783519524147,0.39821289821289824,0.3545454545454544,True,1
37386,17010,חוצות מפרץ,32.809527,35.054514,262,3,524,3,3,0.016639817267244134,0.0002331002331002331,0.21881531767895396,False,4
37392,17004,קרית חיים,32.824918,35.06429,257,2,514,2,2,0.017356611966799967,0.0,0.2112395601031964,False,4
37326,17070,אשדוד עד הלום,31.774061,34.666059,267,4,509,4,3,0.021859968328295655,0.06285936285936286,0.2522803795531067,False,7
