community_id,stops,internal_edges,total_internal_frequency,top_stop_id,top_stop_name,top_stop_weighted_degree
1,1260,1855,438412,26846,דואר/יצחק רגר,7330
2,966,1613,444622,333,הרצל/עולי הגרדום,7988
3,895,1434,251112,18041,נשיאי ישראל/בית הכרם,4466
4,878,1362,116190,20480,ת. מרכזית ק''ש/הורדה,2460
5,799,1228,338141,21145,מרכז רסקו,5374
6,797,1145,113317,18015,הרב קוק/ז'בוטינסקי,2529
7,785,1315,181148,27522,מלכי ישראל/יציאה צפונית,3846
8,738,1429,869329,10775,גשר המיתרים/שד' הרצל,18976
9,710,1093,285905,1170,הנשיא וייצמן/הבנים,6916
10,692,1112,244592,5266,גן העיר/הגליל,7770
11,685,1013,231080,4565,היכל התרבות/חטיבה תש''ע,5162
12,654,1060,165415,745,קניון ערים/וייצמן,4130
13,637,1054,519848,8733,אצטדיון טדי/א''ס ביתר,9743
14,633,1081,552227,13523,דרך שלמה/מסילת ישרים,6838
15,630,1116,371509,25135,שדרות משה דיין/הנחשול,6502
16,625,1255,819819,13103,קניון עזריאלי/דרך מנחם בגין,21396
17,622,950,149743,27220,שדרות ירושלים/יוסף סמלו,2468
18,605,1033,457536,22099,ת. רק''ל בלינסון/קניון אבנת,11915
19,598,969,204788,24237,מרכז מסחרי מול הפארק/דרך ירושלים,3278
20,581,1000,332095,43374,המשנה,5310
21,554,885,423291,10848,שד.נחל הקישון/נחל שחם,5734
22,552,817,499591,3731,העירייה,10066
23,504,862,231783,23115,בי''ס חב''ד ב' לבנים/יוספטל,4467
24,486,728,182030,25840,בן גוריון/נאות אשקלון,4836
25,485,724,85591,18563,סח'נין עיריה,2487
26,480,759,564618,44465,חוף ירושלים,9534
27,476,823,174022,15558,משטרה/הרצל,4900
28,471,665,323300,2360,קריון/ד. עכו חיפה,6584
29,437,670,58152,12226,צומת אילות,820
30,412,650,91166,18815,כיכר אלמעסרה,2326
31,409,634,296858,2092,טרומפלדור/כיכר דוד,8086
32,397,710,156997,16520,ה' באייר/מבצע חירם,3026
33,392,712,132089,41599,שדרות החשמונאים/לב העיר,5353
34,385,583,116215,1456,בית ספר אלונים/הבנים,3527
35,380,512,203469,43849,האוניברסיטה העברית הר הצופים/מרטין בובר,6008
36,368,860,535632,13120,דרך זאב ז'בוטינסקי/מכון מור,14786
37,356,494,291708,10659,שדרות נווה יעקב/אחימאיר,7834
38,355,643,97871,34450,דרך תא''ל אורי בראון/האצ''ל,2594
39,344,472,184429,3521,מת''מ,11540
40,341,566,229581,24850,דרך השבעה/קפלן,5830
41,340,460,237808,10101,בי''ח שערי צדק/בייט,6980
42,336,517,179409,3870,ת. מרכזית המפרץ/הורדה,6700
43,335,530,89916,15856,מרכז מסחרי/העצמאות,3676
44,320,501,97657,12757,מסוף אגד/קניון פרץ סנטר,3000
45,314,429,114929,4780,שדרות הבנים/נוף העמק,3762
46,304,480,322980,7378,רבי עקיבא/אור החיים,7316
47,298,526,270771,36929,שדרות בית הלל/שדרות אביי ורבא,6172
48,297,475,113707,27590,דוד בוזגלו/טייסים,2952
49,294,396,30545,28424,שכונה 24,996
50,272,435,60618,16159,שד. הסנהדרין/שד. ירושלים,1870
51,271,434,75219,26799,חברון/נתיב תאנה,2984
52,270,380,46926,20739,מסוף בית שאן/שדרות מנחם בגין,2088
53,247,330,31304,6067,קופת חולים כללית,768
54,221,288,149769,3932,הדשנים,4984
55,211,292,31904,1624,אלקודס/אלמקריזי,1410
56,209,307,66707,19457,התמר / הפעמונית,3347
57,186,388,80069,5619,מרכז רסקו/חיים וייצמן,3020
58,186,266,33585,1806,אלונים/כיכר בן גוריון,996
59,182,202,70044,10532,רב החובל/אדם,4476
60,165,199,62526,2747,בנק הפועלים,1952
61,164,240,55311,23421,רבי יהודה הנשיא/חוני המעגל,2350
62,157,223,13716,26640,צומת משאבי שדה,504
63,155,205,54921,11534,הראל/יצחק נסים,2488
64,131,157,28960,4108,אל מדינה/אל ח'נדק,1902
65,130,166,35862,1176,שדרות דוד המלך/גלפנשטיין,1994
66,120,169,14395,20900,צומת עיאדאת/גריפאת,514
67,116,155,123310,10226,יגאל ידין/דרוק,8812
68,110,124,24100,9265,דאחיית אל בריד/דרך רמאללה,1222
69,107,146,16988,16130,הרצל/אצ''ל,706
70,87,133,177764,9959,מסוף הר נוף/כנפי נשרים,12770
71,74,113,5290,27670,מועצה אזורית אשכול/232,400
72,67,99,13413,37358,תל אביב מרכז,1543
73,66,94,15683,572,דרך לב השרון/הגפן,972
74,57,68,26165,34860,קופת חולים/המכבים,1406
75,43,57,13756,8147,דוד המלך/שד. כלב בן יפונה,1390
76,39,39,3460,42476,אל טואל/שרפאת,292
77,35,34,7888,35146,יפו - מרכז,464
78,35,34,8302,49472,קריית היובל - מערב,500
79,34,33,25250,49095,אהרונוביץ',2380
80,34,33,26003,49146,בן גוריון,2436
81,27,28,4158,8483,הגיא/מבוא החלילים,396
82,22,24,778,17248,מכמורת/מעלה האשלים,128
83,6,5,3020,41081,הדר העירייה,1208
84,4,4,21,39067,פעמי אביב/ברכת עם,15
85,4,3,13,37897,תחנת מוניות תל אביב תחנה מרכזית,13
86,3,2,4804,44795,טכניון מרכז,4804
87,2,1,4,38015,תחנת מוניות תל אביב מסוף רדינג,4
88,2,1,12,38076,תחנת מוניות רמת גן דרך הטייסים,12
89,1,0,0,35584,מחסום קלנדיה,0
90,1,0,0,43837,תחנת מוניות חולון וולפסון,0
91,1,0,0,44386,תחנת מוניות בת ים קולוני ביץ,0
