strategy,removed_stops,largest_component_nodes,largest_component_share
weighted_degree,0,30237.0,0.9924834241449485
weighted_degree,21,30205.0,0.9914330729337623
weighted_degree,42,30175.0,0.9904483686732751
weighted_degree,62,30125.0,0.9888071949057966
weighted_degree,83,30099.0,0.9879537845467078
weighted_degree,104,30070.0,0.9870019037615703
weighted_degree,125,30048.0,0.9862797873038798
weighted_degree,146,30021.0,0.9853935534694414
weighted_degree,167,29954.0,0.9831943806210202
weighted_degree,188,29925.0,0.9822424998358826
weighted_degree,208,29904.0,0.9815532068535416
weighted_degree,229,29880.0,0.9807654434451519
weighted_degree,250,29856.0,0.9799776800367623
weighted_degree,271,29826.0,0.9789929757762752
weighted_degree,292,29801.0,0.978172388892536
weighted_degree,312,29771.0,0.9771876846320489
weighted_degree,333,29741.0,0.9762029803715617
weighted_degree,354,29713.0,0.9752839230617738
weighted_degree,375,29681.0,0.9742335718505876
weighted_degree,396,29657.0,0.9734458084421979
weighted_degree,417,29425.0,0.9658307621610976
weighted_degree,438,29406.0,0.9652071161294558
weighted_degree,458,29386.0,0.9645506466224644
weighted_degree,479,29365.0,0.9638613536401234
weighted_degree,500,29356.0,0.9635659423619772
pagerank,0,30237.0,0.9924834241449485
pagerank,21,30206.0,0.9914658964091118
pagerank,42,30172.0,0.9903498982472264
pagerank,62,30136.0,0.9891682531346419
pagerank,83,30101.0,0.9880194314974069
pagerank,104,30079.0,0.9872973150397164
pagerank,125,30036.0,0.9858859055996849
pagerank,146,30012.0,0.9850981421912952
pagerank,167,29991.0,0.9844088492089542
pagerank,188,29970.0,0.9837195562266132
pagerank,208,29950.0,0.9830630867196218
pagerank,229,29923.0,0.9821768528851835
pagerank,250,29898.0,0.9813562660014442
pagerank,271,29870.0,0.9804372086916563
pagerank,292,29843.0,0.9795509748572179
pagerank,312,29817.0,0.9786975644981291
pagerank,333,29769.0,0.9771220376813498
pagerank,354,29746.0,0.9763670977483095
pagerank,375,29715.0,0.9753495700124729
pagerank,396,29680.0,0.974200748375238
pagerank,417,29648.0,0.9731503971640517
pagerank,438,29623.0,0.9723298102803125
pagerank,458,29598.0,0.9715092233965732
pagerank,479,29567.0,0.9704916956607366
pagerank,500,29519.0,0.9689161688439571
approx_betweenness,0,30237.0,0.9924834241449485
approx_betweenness,21,30191.0,0.9909735442788683
approx_betweenness,42,30168.0,0.9902186043458281
approx_betweenness,62,30143.0,0.9893980174620889
approx_betweenness,83,30115.0,0.988478960152301
approx_betweenness,104,30092.0,0.9877240202192609
approx_betweenness,125,30067.0,0.9869034333355216
approx_betweenness,146,30041.0,0.9860500229764327
approx_betweenness,167,30018.0,0.9852950830433926
approx_betweenness,188,29989.0,0.9843432022582551
approx_betweenness,208,29969.0,0.9836867327512637
