stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_use_count,degree,degree_centrality,weighted_degree,in_degree,out_degree,in_weight,out_weight,pagerank,approx_betweenness,is_articulation_point,community_id,community_size
17303,47207,ת.התרעננות/דור אלון מגל 6,32.380891,35.017969,47207,110,16,0.0005251928442474972,220,9,7,110,110,9.664746238334676e-06,0.10692943911407501,False,10,692
27689,15400,מחלף קמה לצפון,31.442254,34.766984,15400,652,24,0.0007877892663712457,1304,10,14,652,652,9.22777922941005e-05,0.08617190900195028,False,7,785
41133,638,מחלף חמד,31.801002,35.124540,638,5289,62,0.0020351222714590513,10454,25,37,5289,5165,0.00012535367164246544,0.0826727874292674,True,8,738
7444,60152,דרך האר''י/ כביש 375,31.704533,35.126243,60152,2654,29,0.0009519120301985885,5272,7,22,2618,2654,5.631757348106843e-05,0.06407949580464803,False,46,304
7562,60294,שדרות בית הלל/כניסה לעיר,31.936583,35.035446,60294,1935,29,0.0009519120301985885,3870,24,5,1935,1935,8.231742627677831e-05,0.06285402052501492,False,33,392
41132,640,מחלף חמד,31.800330,35.126238,640,5339,44,0.001444280321680617,10540,32,12,5201,5339,0.000399114606193982,0.060751930848414355,False,8,738
9048,647,בן גוריון/שערי ירושלים,31.791535,35.196465,647,4736,41,0.0013458066633842115,9472,18,23,4736,4736,8.512616142770075e-05,0.049065001360723046,True,8,738
29243,19757,תחנת התרעננות/פונדק בית קמה,31.442304,34.764124,19757,260,19,0.0006236665025439028,520,10,9,260,260,2.6559121912824238e-05,0.04740643193901735,False,7,785
23418,35537,רבי יהודה הנשיא/כניסה לעיר,32.052593,34.944195,35537,687,24,0.0007877892663712457,1374,22,2,687,687,4.68528880546144e-05,0.047092412400802024,False,61,164
748,39705,מחלף קסם,32.119458,34.938360,39705,767,19,0.0006236665025439028,1534,12,7,767,767,5.94727769162631e-05,0.0457281115030744,False,18,605
18691,51410,צומת ראש פינה,32.968266,35.551334,51410,1005,13,0.00042671918595109143,2010,7,6,1005,1005,0.00011254485163225374,0.042298333718086494,False,4,878
16491,32569,מחלף קסם,32.115483,34.941008,32569,878,19,0.0006236665025439028,1756,9,10,878,878,6.285346304372636e-05,0.04045375459461791,False,32,397
9046,645,ויצמן/גבעת שאול,31.790348,35.197526,645,5548,36,0.0011816838995568684,11096,25,11,5548,5548,0.00021821494437729495,0.03969213500367937,False,8,738
18876,51621,צומת חנניה צומת שבע,32.928025,35.406759,51621,318,13,0.00042671918595109143,636,8,5,318,318,3.3570815338337954e-05,0.03868888267422759,False,3,895
47879,53408,מסוף חצור הגלילית/רציפים,32.980830,35.556268,53408,440,5,0.00016412276382734285,880,4,1,440,440,4.745237973986138e-05,0.037092691873534644,False,4,878
47911,51437,ת. מרכזית ק''ש/רציפים,33.209085,35.569276,51437,170,2,6.564910553093715e-05,170,0,2,0,170,5.1084161484722215e-06,0.03704383683385627,False,4,878
19486,52287,תל חי/סיני,33.204747,35.569361,52287,850,8,0.0002625964221237486,1700,6,2,850,850,2.628240368607477e-05,0.037032296082512434,True,4,878
13274,22942,מחלף גבעת שמואל/כביש 4,32.074823,34.843553,22942,5873,24,0.0007877892663712457,11746,6,18,5873,5873,9.2915297234852e-05,0.03684287804337125,False,36,368
4179,54204,צומת כרמיאל,32.923958,35.301965,54204,532,11,0.00036107008042015427,1064,7,4,532,532,3.131981579941551e-05,0.03449432723274833,False,3,895
14348,27063,מחלף גהה/דרך ז'בוטינסקי,32.092314,34.844941,27063,1587,15,0.0004923682914820286,3174,1,14,1587,1587,2.0819834943943555e-05,0.03421908432340344,False,36,368
27692,15403,צומת בית קמה למערב,31.442525,34.762677,15403,129,16,0.0005251928442474972,258,10,6,129,129,4.266909971385754e-05,0.03286625669202456,False,17,622
42430,43208,ת.התרעננות/דור אלון מגל כביש 6,32.381040,35.017224,43208,118,15,0.0004923682914820286,236,8,7,118,118,1.4950015174473712e-05,0.032152656064230324,False,4,878
4132,46142,צומת כפר קרע,32.496878,35.062384,46142,1166,14,0.00045954373871656,2332,5,9,1166,1166,9.855560606479759e-05,0.031116385602208443,False,9,710
27842,15573,מסעף נתיבות/מרכז העיר,31.424305,34.601822,15573,654,15,0.0004923682914820286,1308,6,9,654,654,5.943352752123719e-05,0.030149346064451275,False,17,622
4124,46134,צומת כפר קרע,32.497446,35.063862,46134,1330,11,0.00036107008042015427,2660,7,4,1330,1330,8.105914799900674e-05,0.02968125960304862,False,9,710
1296,40322,מחלף יגור,32.752167,35.071543,40322,1686,26,0.0008534383719021829,3372,18,8,1686,1686,5.6366610059132885e-05,0.02944776510156382,False,45,314
39133,11347,מחלף קמה לדרום,31.442307,34.767318,11347,441,19,0.0006236665025439028,882,8,11,441,441,5.5554074674085224e-05,0.02939025073508896,False,1,1260
16289,32362,צומת יסודות,31.809847,34.858167,32362,1304,20,0.0006564910553093714,2608,8,12,1304,1304,6.359004672086003e-05,0.029212063185074667,False,8,738
19809,52666,הנרייטה סאלד/אליעזר פרי,33.199930,35.571600,52666,187,8,0.0002625964221237486,374,5,3,187,187,2.5667130182585198e-05,0.02651453074237663,False,4,878
27899,15634,מחלף עידן הנגב לדרום,31.371602,34.792349,15634,585,9,0.0002954209748892171,1170,5,4,585,585,9.008201095855055e-05,0.026141664104631316,False,1,1260
