stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_use_count,degree,degree_centrality,weighted_degree,in_degree,out_degree,in_weight,out_weight,pagerank,approx_betweenness,is_articulation_point,community_id,community_size
41133,638,מחלף חמד,31.801002,35.124540,638,5289,62,0.0020351222714590513,10454,25,37,5289,5165,0.00012535367164246544,0.0826727874292674,True,8,738
9048,647,בן גוריון/שערי ירושלים,31.791535,35.196465,647,4736,41,0.0013458066633842115,9472,18,23,4736,4736,8.512616142770075e-05,0.049065001360723046,True,8,738
10775,4216,גשר המיתרים/שד' הרצל,31.787162,35.199533,4216,9490,37,0.0012145084523223371,18976,24,13,9486,9490,0.00017692632644854007,0.011028547219880487,True,8,738
12975,21274,מחלף לה גווארדייה,32.059454,34.786354,21274,3302,34,0.0011160347940259315,6604,22,12,3302,3302,0.00012841322023654622,0.02378437085518953,True,16,625
13246,22028,בית ספר הולץ/חיל השריון,32.046238,34.783261,22028,4577,31,0.0010175611357295257,9154,15,16,4577,4577,9.146105768002509e-05,0.017469394229506892,True,16,625
13322,23017,המסגר/הרכב,32.063660,34.785580,23017,6712,27,0.0008862629246676514,13424,19,8,6712,6712,0.00016693276395338648,0.0008688197055638741,True,16,625
9553,1540,גשר המיתרים/שד' הרצל,31.787322,35.199369,1540,5159,22,0.0007221401608403085,10314,7,15,5159,5155,0.00010314271588325487,0.004396574244401,True,8,738
27623,15333,מרכז רפואי סורוקה/אוניברסיטת בן גוריון,31.259220,34.798363,15333,2297,20,0.0006564910553093714,4594,13,7,2297,2297,0.00020864316162406017,0.02196083344068307,True,1,1260
13356,25069,דרך קיבוץ גלויות/כביש 1,32.046861,34.784605,25069,1667,20,0.0006564910553093714,3334,8,12,1667,1667,3.26010356154579e-05,0.011391254039033532,True,16,625
14355,27084,מחלף מורשה,32.123726,34.854708,27084,1058,20,0.0006564910553093714,2116,14,6,1058,1058,7.604277761320564e-05,0.016475357703612196,True,36,368
28638,19143,משה סנה,31.778838,34.662757,19143,2056,19,0.0006236665025439028,4112,14,5,2056,2056,9.669989563966526e-05,0.0029678747274769863,True,20,581
23543,35690,יסודות/מזכירות,31.815141,34.864194,35690,262,19,0.0006236665025439028,509,11,8,254,255,4.0749036292312646e-05,0.01200623054271883,True,8,738
16205,32269,בי''ח בלינסון/גשר מבצע ארנון,32.091161,34.867870,32269,5359,17,0.0005580173970129658,10712,11,6,5353,5359,0.00010858918553372213,0.0008286189725759311,True,18,605
359,39274,הרצל/בנימין מינץ,32.326176,34.863338,39274,3978,17,0.0005580173970129658,7956,13,4,3978,3978,0.00014085637786757468,0.003670925783650095,True,2,966
24787,37663,צומת צריפין לצפון,31.969932,34.843347,37663,1662,17,0.0005580173970129658,3324,7,10,1662,1662,9.301176688443087e-05,0.0008037761335247936,True,40,341
3368,42502,סחרוב,32.790059,34.959315,42502,5670,16,0.0005251928442474972,11340,12,4,5670,5670,6.587233412000487e-05,0.0010476000966211534,True,39,344
5266,57053,גן העיר/הגליל,32.787223,35.539636,57053,3885,16,0.0005251928442474972,7770,10,6,3885,3885,0.0001993386298081503,0.00014932996381448985,True,10,692
25709,11173,שוק עירוני/בית אשל,31.240599,34.795095,11173,3045,16,0.0005251928442474972,6090,12,4,3045,3045,9.902054106527819e-05,0.0002675171472405434,True,1,1260
5048,56695,קהילת ציון/שפרינצק,32.607536,35.292173,56695,2458,16,0.0005251928442474972,4892,10,6,2434,2458,0.00014329586456859376,0.0003934247416284273,True,11,685
48481,1678,שדרות שז''ר/בנייני האומה,31.787719,35.202632,1678,2232,16,0.0005251928442474972,4420,7,9,2232,2188,3.537050590191616e-05,0.006519658024288125,True,8,738
750,39707,צומת רכבת ראש העין צפון,32.123156,34.937430,39707,990,16,0.0005251928442474972,1980,11,5,990,990,0.00010207699927257697,0.0018046515814514733,True,32,397
3437,42571,גרנד קניון/שמחה גולן,32.789085,35.008567,42571,3291,15,0.0004923682914820286,5714,10,5,2828,2886,0.00014493416603936327,0.0070048912839165076,True,31,409
43374,11856,המשנה,31.780039,34.660266,11856,2655,15,0.0004923682914820286,5310,10,5,2655,2655,0.00015217876874346214,0.01095078546436194,True,20,581
13946,26302,ת. רכבת האוניברסיטה/שד' רוקח,32.102783,34.806970,26302,2649,15,0.0004923682914820286,5298,12,3,2649,2649,4.7046112406628666e-05,0.007749691729660647,True,16,625
44001,12473,קניון הנגב/יצחק בן צבי,31.244291,34.795887,12473,2116,15,0.0004923682914820286,4232,4,11,2116,2116,9.400578408838189e-05,0.0003533909406997718,True,1,1260
2356,41476,קניון לב המפרץ/ההסתדרות,32.793209,35.038917,41476,1917,15,0.0004923682914820286,3830,13,2,1913,1917,9.177621550479379e-05,0.0005633705342521177,True,28,471
7561,60292,צומת חשמונאים דרום,31.929869,35.025170,60292,1710,15,0.0004923682914820286,3420,5,10,1710,1710,7.179442402725063e-05,0.0019232945816318977,True,47,298
24713,37562,ת. רכבת מודיעין מרכז,31.901335,35.004985,37562,1573,15,0.0004923682914820286,2981,8,7,1573,1408,5.4762824245392535e-05,0.0015019586443383197,True,33,392
25938,12071,בן גוריון/נאות אשקלון,31.661191,34.577653,12071,2279,14,0.00045954373871656,4558,11,3,2279,2279,9.501370156645905e-05,0.0018237283337676222,True,24,486
13214,21705,מתחם מידטאון/דרך מנחם בגין,32.080071,34.795266,21705,2278,14,0.00045954373871656,4556,10,4,2278,2278,4.8943658587671224e-05,0.0006136274600926536,True,16,625
