source_stop_id,source_stop_name,target_stop_id,target_stop_name,frequency
44793,אוניברסיטת חיפה,44795,טכניון מרכז,2402
44795,טכניון מרכז,44798,מרכזית המפרץ,2402
23299,ת. רכבת קרית אריה,23298,ת. רכבת קרית אריה,1809
11448,מסוף חומת שמואל/אליהו קורן,48932,תחנה תפעולית/היציאה מחניון חומת שמואל,1672
10532,רב החובל/אדם,48933,תחנה תפעולית/חניון תלפיות מזרח,1575
49466,מסוף הר נוף/כנפי נשרים,10576,מסוף הר נוף/בית הדפוס,1306
49135,אלנבי,49100,קרליבך,1218
49100,קרליבך,49109,יהודית,1218
49109,יהודית,49149,שאול המלך,1218
49149,שאול המלך,49093,ארלוזורוב,1218
49145,ביאליק,49146,בן גוריון,1218
49150,אבא הלל,49145,ביאליק,1218
49093,ארלוזורוב,49150,אבא הלל,1218
49146,בן גוריון,49117,אהרונוביץ',1218
49134,אליפלט,49135,אלנבי,1218
25712,שוק עירוני/בית אשל,50730,ת.מרכזית/עירוניים לצפון,1210
49136,יהודית,49124,קרליבך,1190
49101,אבא הלל,49110,ארלוזורוב,1190
49124,קרליבך,49123,אלנבי,1190
49137,שאול המלך,49136,יהודית,1190
49094,ביאליק,49101,אבא הלל,1190
49123,אלנבי,49092,אליפלט,1190
49110,ארלוזורוב,49137,שאול המלך,1190
49151,בן גוריון,49094,ביאליק,1190
49095,אהרונוביץ',49151,בן גוריון,1190
47884,בית העלמין החדש,28884,מסוף חצרים,1154
25467,כיכר הטפטפת/דרך ג'ו יוסף אלון,49279,מסוף חצרים,1145
48462,הרטום/גולדה מאיר,48461,חניון הרטום,1057
37608,חניון אגד/הנפח,37607,הנפח/מעלה כמון,1037
37624,הנפח/מעלה כמון,37623,הנפח/היזם,1037
