stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_use_count,degree,degree_centrality,weighted_degree,in_degree,out_degree,in_weight,out_weight,pagerank,approx_betweenness,is_articulation_point,community_id,community_size
41133,638,מחלף חמד,31.801002,35.124540,638,5289,62,0.0020351222714590513,10454,25,37,5289,5165,0.00012535367164246544,0.0826727874292674,True,8,738
41132,640,מחלף חמד,31.800330,35.126238,640,5339,44,0.001444280321680617,10540,32,12,5201,5339,0.000399114606193982,0.060751930848414355,False,8,738
9048,647,בן גוריון/שערי ירושלים,31.791535,35.196465,647,4736,41,0.0013458066633842115,9472,18,23,4736,4736,8.512616142770075e-05,0.049065001360723046,True,8,738
10716,4009,צומת רמות/גולדה,31.808253,35.204001,4009,8696,40,0.0013129821106187428,17392,17,23,8696,8696,0.0001908559941593733,0.006945700128552814,False,8,738
10775,4216,גשר המיתרים/שד' הרצל,31.787162,35.199533,4216,9490,37,0.0012145084523223371,18976,24,13,9486,9490,0.00017692632644854007,0.011028547219880487,True,8,738
9046,645,ויצמן/גבעת שאול,31.790348,35.197526,645,5548,36,0.0011816838995568684,11096,25,11,5548,5548,0.00021821494437729495,0.03969213500367937,False,8,738
12975,21274,מחלף לה גווארדייה,32.059454,34.786354,21274,3302,34,0.0011160347940259315,6604,22,12,3302,3302,0.00012841322023654622,0.02378437085518953,True,16,625
13354,24068,ת. רכבת תל אביב - סבידור/דרך נמיר,32.083482,34.795008,24068,5696,31,0.0010175611357295257,11348,22,9,5652,5696,9.893011128804714e-05,0.02290366016096854,False,16,625
13246,22028,בית ספר הולץ/חיל השריון,32.046238,34.783261,22028,4577,31,0.0010175611357295257,9154,15,16,4577,4577,9.146105768002509e-05,0.017469394229506892,True,16,625
10790,5130,צומת רמות/גולדה,31.809649,35.204075,5130,7679,31,0.0010175611357295257,14154,24,7,7679,6475,0.00013952838866702455,0.006091252463031954,False,8,738
7562,60294,שדרות בית הלל/כניסה לעיר,31.936583,35.035446,60294,1935,29,0.0009519120301985885,3870,24,5,1935,1935,8.231742627677831e-05,0.06285402052501492,False,33,392
7444,60152,דרך האר''י/ כביש 375,31.704533,35.126243,60152,2654,29,0.0009519120301985885,5272,7,22,2618,2654,5.631757348106843e-05,0.06407949580464803,False,46,304
8750,222,אצטדיון טדי/א''ס ביתר,31.751345,35.188474,222,4764,27,0.0008862629246676514,9455,14,13,4691,4764,0.0001109008823838946,0.008522002649232033,False,13,637
29350,20068,מחלף מסובים,32.036975,34.829135,20068,2017,27,0.0008862629246676514,4034,10,17,2017,2017,5.110998890881536e-05,0.020203986797198707,False,36,368
13322,23017,המסגר/הרכב,32.063660,34.785580,23017,6712,27,0.0008862629246676514,13424,19,8,6712,6712,0.00016693276395338648,0.0008688197055638741,True,16,625
10264,3035,צומת רמות/ידין,31.806286,35.204892,3035,3488,27,0.0008862629246676514,6976,17,10,3488,3488,6.6120669245259e-05,0.003354405745366694,False,8,738
1296,40322,מחלף יגור,32.752167,35.071543,40322,1686,26,0.0008534383719021829,3372,18,8,1686,1686,5.6366610059132885e-05,0.02944776510156382,False,45,314
21589,33432,מחלף מסובים,32.038296,34.831105,33432,2441,25,0.0008206138191367143,4882,12,13,2441,2441,8.558174620635606e-05,0.010397930287653108,False,36,368
13320,23014,קניון עזריאלי/דרך מנחם בגין,32.074453,34.791116,23014,5347,24,0.0007877892663712457,10694,17,7,5347,5347,8.963417988367159e-05,0.013069703825352432,False,16,625
27689,15400,מחלף קמה לצפון,31.442254,34.766984,15400,652,24,0.0007877892663712457,1304,10,14,652,652,9.22777922941005e-05,0.08617190900195028,False,7,785
10236,3007,שערי ירושלים/ליפתא,31.790818,35.197613,3007,3696,24,0.0007877892663712457,7392,14,10,3696,3696,8.166708902273477e-05,0.007337680813713844,False,8,738
13274,22942,מחלף גבעת שמואל/כביש 4,32.074823,34.843553,22942,5873,24,0.0007877892663712457,11746,6,18,5873,5873,9.2915297234852e-05,0.03684287804337125,False,36,368
23418,35537,רבי יהודה הנשיא/כניסה לעיר,32.052593,34.944195,35537,687,24,0.0007877892663712457,1374,22,2,687,687,4.68528880546144e-05,0.047092412400802024,False,61,164
10446,3289,צומת גבעת מרדכי/בייט,31.767336,35.193158,3289,2502,23,0.0007549647136057771,5004,15,8,2502,2502,6.003624487253518e-05,0.010723999296263702,False,41,340
51199,61539,דרך האר''י/המגיד ממעזריטש,31.703488,35.126299,61539,1488,22,0.0007221401608403085,2976,20,2,1488,1488,9.472780513427441e-05,0.018674971252610886,False,46,304
9553,1540,גשר המיתרים/שד' הרצל,31.787322,35.199369,1540,5159,22,0.0007221401608403085,10314,7,15,5159,5155,0.00010314271588325487,0.004396574244401,True,8,738
14600,30002,ת. מרכזית יבנה,31.890228,34.731686,30002,954,22,0.0007221401608403085,1679,15,7,954,725,7.250924665405457e-05,0.015363717750405048,False,50,272
42301,63111,מסוף אורנית,32.107422,34.999199,63111,1291,22,0.0007221401608403085,2578,11,12,1289,1289,0.00010757472528627404,0.011385130508724731,False,38,355
41599,31660,שדרות החשמונאים/לב העיר,31.900044,35.006690,31660,3387,22,0.0007221401608403085,5353,13,9,3212,2141,0.00019875171620881363,0.004080763801419606,False,33,392
729,39662,מחלף ראש העין מזרח,32.107606,34.962074,39662,973,21,0.00068931560807484,1946,4,17,973,973,6.694110053702385e-05,0.01706345818709158,False,38,355
