stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_use_count,degree,degree_centrality,weighted_degree,in_degree,out_degree,in_weight,out_weight,pagerank,approx_betweenness,is_articulation_point,community_id,community_size
41132,640,מחלף חמד,31.800330,35.126238,640,5339,44,0.001444280321680617,10540,32,12,5201,5339,0.000399114606193982,0.060751930848414355,False,8,738
20480,53340,ת. מרכזית ק''ש/הורדה,33.210071,35.569123,53340,1996,9,0.0002954209748892171,2460,8,1,1996,464,0.00024401694752333082,0.0003214124807057833,False,4,878
9046,645,ויצמן/גבעת שאול,31.790348,35.197526,645,5548,36,0.0011816838995568684,11096,25,11,5548,5548,0.00021821494437729495,0.03969213500367937,False,8,738
11734,6109,ת. מרכזית ירושלים/הורדה,31.789082,35.202487,6109,4508,11,0.00036107008042015427,4508,11,0,4508,0,0.00021315530915258114,0.00470937459230095,False,8,738
27623,15333,מרכז רפואי סורוקה/אוניברסיטת בן גוריון,31.259220,34.798363,15333,2297,20,0.0006564910553093714,4594,13,7,2297,2297,0.00020864316162406017,0.02196083344068307,True,1,1260
13358,25071,סמינר הקיבוצים/דרך נמיר,32.101886,34.792779,25071,7890,21,0.00068931560807484,15780,10,11,7890,7890,0.00020216005798304084,0.010973049678463466,False,16,625
26711,14043,צומת עומר מערב,31.269234,34.841741,14043,895,10,0.0003282455276546857,1790,6,4,895,895,0.00020132450906291228,0.0011686034599400306,False,1,1260
5266,57053,גן העיר/הגליל,32.787223,35.539636,57053,3885,16,0.0005251928442474972,7770,10,6,3885,3885,0.0001993386298081503,0.00014932996381448985,True,10,692
48183,51437,ת. מרכזית ק''ש/רציפים,33.209085,35.569276,51437,898,6,0.00019694731659281143,1362,1,5,464,898,0.00019914214510659796,3.892490715674769e-05,False,4,878
41599,31660,שדרות החשמונאים/לב העיר,31.900044,35.006690,31660,3387,22,0.0007221401608403085,5353,13,9,3212,2141,0.00019875171620881363,0.004080763801419606,False,33,392
4729,55326,יצחק רבין/דוד אלעזר,32.626136,35.320908,55326,2378,8,0.0002625964221237486,4741,5,3,2363,2378,0.0001935737148281419,0.0005737508242443088,False,11,685
26705,14032,צומת תל שבע,31.261049,34.831723,14032,919,8,0.0002625964221237486,1838,5,3,919,919,0.00019156618941331663,0.0005717129087815771,False,1,1260
10716,4009,צומת רמות/גולדה,31.808253,35.204001,4009,8696,40,0.0013129821106187428,17392,17,23,8696,8696,0.0001908559941593733,0.006945700128552814,False,8,738
3521,42656,מת''מ,32.790385,34.961340,42656,5770,13,0.00042671918595109143,11540,10,3,5770,5770,0.00018810259853864516,0.014270493006601121,False,39,344
9181,800,בנייני האומה/הנשיא השישי,31.786340,35.203701,800,6950,12,0.00039389463318562285,9468,9,3,6875,2593,0.00018697874678873146,5.2558535838437024e-05,False,8,738
18040,50650,נשיאי ישראל/דרך השלום,32.908586,35.285505,50650,2012,7,0.00022977186935828,4024,5,2,2012,2012,0.0001827113445274124,0.0013457124030849007,False,3,895
333,39247,הרצל/עולי הגרדום,32.325694,34.864841,39247,3994,8,0.0002625964221237486,7988,5,3,3994,3994,0.00018083745164779495,0.0007521473481859689,False,2,966
12910,21188,דרך נמיר/יהודה המכבי,32.095376,34.794137,21188,8408,10,0.0003282455276546857,16816,3,7,8408,8408,0.00017957450034491296,0.0018496994324164648,False,16,625
27918,15657,ת.מרכזית באר שבע/הורדה,31.243017,34.796138,15657,3530,14,0.00045954373871656,3562,12,2,3530,32,0.0001788293984755948,0.011958118612321418,False,1,1260
47851,52152,ת.מרכזית עפולה/הורדה,32.609242,35.292548,52152,4038,15,0.0004923682914820286,4210,9,6,4038,172,0.00017831688708188517,0.0008352741796316145,False,11,685
10775,4216,גשר המיתרים/שד' הרצל,31.787162,35.199533,4216,9490,37,0.0012145084523223371,18976,24,13,9486,9490,0.00017692632644854007,0.011028547219880487,True,8,738
4166,54191,דרך אל-ג'ליל/א-רום,32.707579,35.306610,54191,1549,4,0.0001312982110618743,3098,3,1,1549,1549,0.00017579151160600196,0.00011205175906506267,False,5,799
37420,19987,ת. מרכזית אשדוד,31.790236,34.639344,19987,3263,9,0.0002954209748892171,4077,7,3,3263,814,0.00017382638552806688,0.0026210185659160962,False,20,581
28915,19429,מרכז רפואי סורוקה/יצחק רגר,31.257796,34.798151,19429,3186,12,0.00039389463318562285,6372,6,6,3186,3186,0.0001696325128377877,0.0005408699534748219,False,1,1260
26871,14377,צומת חטיבת הנגב,31.256713,34.825294,14377,924,4,0.0001312982110618743,1848,2,2,924,924,0.00016770113030925278,7.372714109236282e-05,False,1,1260
28231,16065,שדרות דוד בן גוריון/דרך אליהו נאוי,31.250470,34.817906,16065,1972,5,0.00016412276382734285,3944,3,2,1972,1972,0.00016754828656970712,9.177868052861488e-05,False,1,1260
18015,50615,הרב קוק/ז'בוטינסקי,33.015356,35.281995,50615,1332,7,0.00022977186935828,2529,3,4,1331,1198,0.00016749797539476725,0.00047329655155535873,False,6,797
27520,15209,שד. לכיש/שד. מלכי ישראל,31.618159,34.767113,15209,1487,13,0.00042671918595109143,2974,8,5,1487,1487,0.00016747402883788076,0.0017543856852625338,False,7,785
13322,23017,המסגר/הרכב,32.063660,34.785580,23017,6712,27,0.0008862629246676514,13424,19,8,6712,6712,0.00016693276395338648,0.0008688197055638741,True,16,625
3870,43008,ת. מרכזית המפרץ/הורדה,32.792214,35.034786,43008,5543,14,0.00045954373871656,6700,9,5,5535,1165,0.00016589209408405658,0.008585224773470195,False,42,336
