from_stop,to_stop,trip_frequency
37310,37314,16
37314,37312,219
37338,37298,59
37336,37322,50
37396,37394,233
41293,37384,187
41293,41291,121
40581,40582,106
37384,37382,187
41291,41292,121
40582,40583,106
37734,8833,89
41133,36451,270
41133,36204,285
41133,36178,189
41133,36243,281
41133,36588,62
41133,36484,273
41133,36404,183
41133,36144,267
41133,36316,213
41133,36360,124
9048,50584,19
9048,36784,180
9553,36477,238
3149,17465,138
2356,47898,272
48898,47841,605
17505,48043,473
17505,48045,290
17505,48039,502
37221,26769,40
26792,28266,89
26841,26844,658
26842,26843,592
15295,15294,451
15255,51805,160
24787,24673,176
12975,50375,312
25398,23151,594
24404,48009,13
24404,47920,46
24404,48099,106
24404,48195,6
14355,37473,27
13734,13735,423
24763,36168,148
49329,51816,272
25975,48357,109
43422,48149,334
43422,48093,194
11865,36335,284
49466,10576,1306
8614,8094,13
11292,9052,250
43905,36413,29
10775,50583,36
10775,50603,58
10775,50604,55
48481,42299,306
2394,43777,41
13339,48995,130
50332,44664,312
29325,51917,272
13214,42881,224
13187,44990,24
13219,51815,272
13328,51964,272
13322,37677,71
13322,36296,59
13322,37690,46
13322,37675,59
13322,47798,14
47432,37694,108
13632,36198,60
29310,37525,109
29310,37687,174
29310,37685,160
37534,13321,363
13321,36516,394
13321,41666,263
13321,37648,316
14339,42837,12
13246,37050,188
13246,37642,225
13246,37662,150
13246,38994,107
13246,37661,149
13246,36888,5
13946,49172,63
13733,13736,419
13736,13737,419
50374,50377,936
13356,36292,141
13356,36892,190
13239,51814,272
50631,51803,885
50631,51761,243
49372,44994,24
13268,37646,228
13268,38380,168
6246,18421,7
5623,18419,36
18409,7152,115
7152,50685,115
24722,48270,599
12990,49975,62
13206,44665,312
14356,14360,2
10238,38838,251
43337,10169,68
37834,43338,68
14057,12901,10
15826,25144,22
13752,49245,391
12936,48424,219
43629,50863,284
9340,9341,224
27529,50679,35
27530,50680,36
28638,48065,132
28638,48273,120
28638,48944,340
28638,48943,163
28638,48950,58
28638,48951,332
28638,48949,136
28638,43608,116
28638,48948,174
22099,44162,86
38356,50901,468
35879,48975,137
35917,48425,157
41123,48984,131
48425,48426,157
35918,48430,93
47975,47994,2
8947,47736,76
8947,44836,43
8947,44837,17
11302,50342,14
22203,23183,3
22182,41780,232
48462,48461,1057
10356,8095,13
24713,49792,23
22252,41679,151
16205,44160,316
16205,44158,239
16205,44159,317
16205,44161,74
23299,23298,1809
47889,27623,5
27623,48114,226
27623,47899,242
47905,324,89
324,47909,41
7604,50773,159
3367,35827,421
3549,48196,69
3549,47969,90
48267,12838,561
47762,21507,424
15860,38288,239
25353,22431,178
24765,23881,414
5238,35296,35
25826,47864,118
26659,47902,233
48914,48067,62
52011,52008,240
52008,52007,240
52007,52012,240
52012,52009,240
52009,47006,240
44681,44695,945
50692,750,138
750,50694,140
750,50691,104
750,50693,128
750,50690,140
39624,48014,212
3437,48038,236
48024,3368,930
3368,48040,763
3368,48044,328
3368,48220,417
3368,48051,526
3368,48034,483
3368,47959,763
3228,47964,181
2753,17124,96
17124,17127,96
17054,38566,102
38566,38559,102
50974,35772,425
2471,50181,9
35771,50943,415
3431,50973,667
3431,50968,472
35837,50942,830
3500,3514,640
3514,3515,640
3515,35657,640
35657,3516,640
38772,38768,406
38769,38771,381
38771,38773,381
38773,38774,381
38774,3709,381
3709,35658,577
3709,3517,196
