from_stop,to_stop,distance_m,weight
1,846,292.5,0.003419
1,848,218.6,0.004576
1,849,353.1,0.002832
1,850,220.0,0.004545
1,851,422.1,0.002369
1,852,478.3,0.002091
1,853,327.4,0.003055
1,1010,440.9,0.002268
1,1011,82.1,0.012184
1,23759,454.0,0.002203
2,23485,450.3,0.002221
2,23537,337.8,0.00296
2,34030,448.0,0.002232
2,34135,485.7,0.002059
2,24830,265.0,0.003774
3,84,50.3,0.019862
3,34027,443.0,0.002257
4,49221,300.1,0.003332
10,9,311.2,0.003213
10,15667,454.0,0.002203
10,16244,464.5,0.002153
10,16709,314.1,0.003184
10,24838,63.0,0.015867
10,34096,110.9,0.009015
10,34138,474.6,0.002107
10,11,310.1,0.003224
10,12,458.1,0.002183
10,16,460.4,0.002172
10,16246,193.3,0.005174
10,22773,292.9,0.003414
10,23485,273.1,0.003661
10,23537,496.2,0.002015
10,34030,164.3,0.006088
10,34135,262.7,0.003806
10,34136,483.0,0.002071
11,9,424.5,0.002356
11,16709,418.8,0.002388
11,23607,309.3,0.003233
11,24838,316.3,0.003162
11,34096,348.3,0.002871
11,50591,436.2,0.002292
11,2,441.7,0.002264
11,12,269.4,0.003712
11,15426,417.8,0.002393
11,15427,405.8,0.002464
11,16098,424.1,0.002358
11,16246,146.6,0.006823
11,16247,442.9,0.002258
11,23485,38.7,0.02584
11,23532,474.8,0.002106
11,23537,229.5,0.004358
11,24315,385.2,0.002596
11,34030,145.9,0.006852
12,23607,495.9,0.002017
12,24838,496.6,0.002014
12,2,209.3,0.004778
12,15426,363.0,0.002755
12,15427,183.5,0.00545
12,16098,280.2,0.003569
12,16246,274.5,0.003643
12,16247,219.4,0.004558
12,23485,290.8,0.003439
12,23532,456.4,0.002191
12,23537,130.4,0.007666
12,24315,420.2,0.00238
12,34030,333.7,0.002997
12,38930,441.9,0.002263
12,16097,269.6,0.003709
12,24830,466.0,0.002146
14,22017,499.6,0.002002
14,9,488.1,0.002049
14,15,197.6,0.00506
14,15667,491.9,0.002033
14,16244,480.6,0.002081
14,16709,498.9,0.002004
14,34096,474.0,0.00211
14,34137,142.0,0.007044
14,34138,102.2,0.009782
14,16,323.4,0.003092
14,34136,282.3,0.003542
15,34137,63.4,0.015774
15,34138,294.3,0.003397
15,16,255.0,0.003922
15,34136,206.9,0.004834
16,24838,471.8,0.002119
16,34096,465.4,0.002149
16,34137,286.8,0.003487
16,34138,363.1,0.002754
16,22773,286.7,0.003488
16,34135,336.1,0.002975
16,34136,48.7,0.020553
17,23665,243.3,0.00411
17,38749,351.0,0.002849
17,23565,186.8,0.005352
17,23576,337.4,0.002964
17,23658,250.7,0.003988
17,23765,428.7,0.002333
17,23839,149.8,0.006674
17,23848,475.3,0.002104
17,24638,492.9,0.002029
17,33992,175.6,0.005696
17,34112,291.1,0.003436
17,34131,413.8,0.002417
17,34132,212.9,0.004698
18,19,111.9,0.00894
18,29,178.7,0.005595
18,24945,469.4,0.002131
18,24946,372.5,0.002685
19,29,220.6,0.004534
19,24945,483.2,0.00207
19,24946,440.7,0.002269
21,23092,351.8,0.002843
21,23093,385.0,0.002598
21,21934,206.5,0.004844
21,22368,227.0,0.004406
21,24789,34.0,0.029419
21,25379,417.1,0.002397
21,37718,402.7,0.002483
21,37719,395.9,0.002526
22,23671,408.1,0.00245
22,23672,392.3,0.002549
22,23675,259.9,0.003847
22,23676,364.1,0.002746
22,34082,400.4,0.002497
22,34083,257.2,0.003887
22,39273,451.2,0.002217
22,39764,440.5,0.00227
22,48078,110.0,0.009094
22,23673,384.7,0.002599
22,23674,267.6,0.003737
22,48928,394.1,0.002538
22,49176,86.0,0.01163
24,24788,85.1,0.011751
24,24673,450.1,0.002222
25,79,222.2,0.0045
25,8,194.0,0.005154
26,37849,285.8,0.003499
26,37850,237.5,0.00421
26,38897,312.9,0.003196
26,38898,391.3,0.002555
26,34059,446.8,0.002238
26,73,425.0,0.002353
26,34058,391.4,0.002555
26,48339,449.8,0.002223
31,32,294.1,0.003401
32,33,314.3,0.003181
32,48288,442.2,0.002262
32,48591,471.6,0.00212
33,34,244.8,0.004085
34,35116,414.1,0.002415
34,48286,475.0,0.002105
34,49256,401.8,0.002489
37,37851,322.4,0.003102
43,71,248.0,0.004032
43,44585,407.5,0.002454
43,47071,404.8,0.002471
43,48077,378.5,0.002642
43,68,148.4,0.006738
45,88,219.9,0.004547
46,49207,253.7,0.003941
48,604,475.4,0.002103
48,49926,34.9,0.028632
48,624,482.9,0.002071
48,647,376.9,0.002653
48,738,271.0,0.00369
48,740,400.6,0.002496
48,49947,331.8,0.003014
51,58,481.6,0.002076
52,53,367.1,0.002724
52,65,491.7,0.002034
53,54,466.3,0.002145
54,55,178.7,0.005596
54,61,453.9,0.002203
54,56,494.0,0.002024
54,62,446.7,0.002238
55,61,304.6,0.003283
55,56,320.4,0.003121
55,62,269.5,0.003711
56,61,133.8,0.007473
56,57,253.3,0.003948
56,58,339.9,0.002942
56,62,64.4,0.015524
57,61,383.4,0.002608
57,58,152.4,0.006561
57,62,263.1,0.003801
58,61,472.8,0.002115
58,62,320.2,0.003123
59,60,236.9,0.004221
59,63,449.8,0.002223
60,63,216.4,0.004622
61,62,163.0,0.006135
63,64,335.4,0.002981
68,71,194.8,0.005133
72,74,266.1,0.003758
76,94,349.9,0.002858
76,95,418.2,0.002391
77,86,202.4,0.004941
77,87,406.3,0.002461
79,8,382.0,0.002618
80,9736,200.5,0.004988
80,9612,122.2,0.00818
80,9737,175.4,0.005701
81,82,331.4,0.003018
83,92,310.4,0.003222
83,91,265.9,0.003761
86,87,208.2,0.004803
91,92,402.4,0.002485
94,95,225.8,0.004428
97,98,356.4,0.002806
97,99,249.3,0.004011
98,99,114.6,0.008725
100,22716,423.3,0.002362
100,39276,480.9,0.00208
100,97,322.5,0.003101
100,98,478.7,0.002089
100,99,378.0,0.002646
100,101,107.8,0.009281
100,22306,280.3,0.003567
100,22606,112.6,0.008879
100,22713,365.6,0.002736
100,34007,150.7,0.006634
100,34088,284.9,0.00351
100,34176,381.5,0.002621
100,39763,402.7,0.002483
101,22716,451.3,0.002216
101,39276,495.0,0.00202
101,39760,495.6,0.002018
101,97,214.8,0.004656
101,98,413.8,0.002417
101,99,303.9,0.003291
101,22306,386.8,0.002585
101,22606,201.3,0.004967
101,22713,393.8,0.00254
101,34007,232.0,0.00431
101,34088,184.5,0.005419
101,34176,335.6,0.002979
101,39761,401.6,0.00249
101,39762,450.5,0.00222
101,39763,295.0,0.00339
101,23763,417.5,0.002395
102,21342,243.2,0.004112
102,21343,447.7,0.002233
102,21345,455.4,0.002196
102,21671,307.0,0.003257
102,103,14.5,0.069119
102,21338,493.8,0.002025
102,21339,248.3,0.004027
102,21340,416.4,0.002402
102,21341,351.6,0.002844
102,21347,353.1,0.002832
102,21501,328.3,0.003046
102,21797,246.2,0.004062
102,37330,322.1,0.003104
103,21342,253.0,0.003952
103,21343,453.9,0.002203
103,21345,461.3,0.002168
103,21671,317.0,0.003155
103,21338,481.6,0.002077
103,21339,235.8,0.004241
103,21340,406.6,0.002459
103,21341,350.7,0.002851
103,21347,352.8,0.002834
103,21501,317.4,0.003151
103,21797,233.1,0.004289
103,37330,310.8,0.003217
105,106,57.3,0.017464
105,21341,484.5,0.002064
105,21347,478.6,0.00209
105,21348,327.4,0.003055
105,21499,262.0,0.003816
105,21500,193.5,0.005169
105,21699,435.3,0.002297
105,21700,426.0,0.002347
105,24466,362.2,0.002761
105,42657,335.1,0.002985
105,42658,435.2,0.002298
105,51873,484.0,0.002066
106,21341,436.8,0.002289
106,21347,430.0,0.002325
106,21348,314.5,0.00318
106,21499,240.2,0.004163
106,21500,137.4,0.007279
106,21699,442.4,0.00226
106,21700,436.6,0.002291
106,24466,346.1,0.002889
106,42657,389.7,0.002566
106,42658,491.5,0.002035
107,21340,303.7,0.003293
107,21341,491.1,0.002036
107,21501,396.7,0.002521
107,110,70.1,0.014268
107,21699,250.4,0.003993
107,21700,274.4,0.003645
107,23894,348.2,0.002872
107,24466,305.3,0.003275
107,41374,331.8,0.003014
107,41375,154.6,0.006469
107,108,359.4,0.002783
108,110,292.3,0.003421
108,21699,427.3,0.00234
108,21700,428.7,0.002333
108,23894,266.8,0.003749
108,41374,386.4,0.002588
108,41375,276.9,0.003612
108,23895,416.3,0.002402
108,23896,480.1,0.002083
108,42659,366.8,0.002727
108,44966,288.2,0.00347
108,50032,297.6,0.00336
108,50058,262.4,0.003811
108,50787,461.3,0.002168
110,21340,373.0,0.002681
110,21501,466.6,0.002143
110,21699,238.2,0.004198
110,21700,257.5,0.003883
110,23894,289.0,0.00346
110,24466,334.1,0.002993
110,41374,330.6,0.003025
110,41375,136.1,0.007346
110,44966,489.8,0.002042
111,22111,105.9,0.009446
111,23076,196.2,0.005096
111,24751,495.3,0.002019
111,112,76.1,0.013134
111,23075,418.7,0.002388
112,22111,176.6,0.005662
112,23076,216.1,0.004628
112,24751,479.3,0.002087
112,23075,443.3,0.002256
112,183,483.7,0.002067
112,184,489.5,0.002043
117,22220,449.0,0.002227
117,22131,45.4,0.022006
117,22136,163.1,0.006132
117,22179,263.0,0.003802
117,22182,91.7,0.010904
117,22183,469.1,0.002132
117,22246,355.1,0.002816
117,23054,299.4,0.00334
117,23071,491.3,0.002035
117,23072,365.0,0.00274
117,23073,471.4,0.002121
117,23074,184.6,0.005417
117,23158,66.3,0.015094
117,24714,489.5,0.002043
117,40437,228.8,0.004371
117,41314,370.2,0.002701
117,41315,494.0,0.002024
117,41864,433.9,0.002305
117,42968,165.5,0.006044
117,22137,290.9,0.003437
117,22138,352.8,0.002834
117,22139,384.5,0.002601
117,23053,358.1,0.002792
117,41863,330.0,0.00303
118,121,203.0,0.004926
118,122,222.9,0.004486
118,124,25.6,0.038993
118,22136,369.0,0.00271
118,22150,373.6,0.002676
118,22151,158.9,0.006294
118,22152,180.0,0.005554
118,22153,362.2,0.002761
118,22161,483.0,0.00207
118,22246,190.3,0.005256
118,23038,426.6,0.002344
118,23046,233.4,0.004285
118,23047,121.1,0.008256
118,23054,237.2,0.004216
118,23073,117.9,0.008479
118,40437,335.2,0.002983
118,41864,105.2,0.009508
118,22137,341.8,0.002925
118,22146,417.2,0.002397
118,22147,321.8,0.003108
118,23048,435.9,0.002294
118,23049,489.0,0.002045
118,23050,458.7,0.00218
118,23051,341.8,0.002926
118,23187,210.8,0.004743
118,41863,488.1,0.002049
121,22154,445.1,0.002247
121,22250,385.5,0.002594
121,23037,455.8,0.002194
121,23045,444.3,0.002251
121,122,102.5,0.009752
121,124,212.9,0.004697
121,22150,294.6,0.003394
121,22151,191.6,0.00522
121,22152,174.7,0.005723
121,22153,258.8,0.003863
121,22160,387.8,0.002579
121,22161,280.5,0.003565
121,22246,382.3,0.002616
121,23038,225.4,0.004437
121,23039,369.4,0.002707
121,23046,186.0,0.005376
121,23047,176.1,0.00568
121,23054,419.2,0.002385
121,23073,213.0,0.004695
121,35969,461.6,0.002167
121,35989,497.7,0.002009
121,40437,463.5,0.002158
121,41864,259.2,0.003858
121,22147,485.5,0.00206
121,23048,373.7,0.002676
121,23187,385.2,0.002596
122,22154,368.1,0.002717
122,22250,385.5,0.002594
122,23037,390.2,0.002562
122,23045,365.1,0.002739
122,124,242.2,0.004128
122,22136,492.8,0.002029
122,22150,397.1,0.002518
122,22151,273.5,0.003656
122,22152,101.4,0.009858
122,22153,162.3,0.006162
122,22160,448.5,0.00223
122,22161,312.2,0.003203
122,22246,367.6,0.00272
122,23038,234.9,0.004257
122,23039,427.3,0.00234
122,23046,89.7,0.011151
122,23047,248.0,0.004033
122,23054,392.5,0.002548
122,23073,174.5,0.005732
122,40437,400.6,0.002496
122,41864,234.8,0.004259
122,23048,476.3,0.0021
122,23187,429.8,0.002327
124,22136,379.7,0.002633
124,22150,360.6,0.002773
