stop_id,stop_name,lat,lon,region,metro
38725,ת. רכבת יבנה מערב,31.8907,34.731191,מרכז,תל אביב
15582,שד. הסנהדרין/שד. ירושלים,31.887865,34.734514,מרכז,תל אביב
15746,שד. ירושלים/שד. הסנהדרין,31.887569,34.733548,מרכז,תל אביב
15725,בית ספר אורמת/נחל חריף,31.894514,34.734783,מרכז,תל אביב
15416,מחלף בית רבן למזרח,31.819528,34.730697,מרכז,תל אביב
15583,שד. הסנהדרין/הירדן,31.885345,34.738877,מרכז,תל אביב
16437,הירדן/הסנהדרין,31.886313,34.739528,מרכז,תל אביב
16086,זבוטינסקי/ החרוב,31.88142,34.739344,מרכז,תל אביב
15589,שד. הסנהדרין/שד. ז'בוטינסקי,31.882351,34.741413,מרכז,תל אביב
15736,האלון/האשל,31.881099,34.741085,מרכז,תל אביב
16085,שד. ז'בוטינסקי/התאנה,31.878711,34.737355,מרכז,תל אביב
16084,שדרות ז'בוטינסקי/אגוז,31.876841,34.735954,מרכז,תל אביב
16474,האגוז/שדרות ז'בוטינסקי,31.877922,34.735494,מרכז,תל אביב
15769,שדרות דואני/הערבה,31.874398,34.737366,מרכז,תל אביב
15586,שד. דואני/שד. ז'בוטינסקי,31.874907,34.734556,מרכז,תל אביב
15739,שד. דואני/סחלב,31.873071,34.739786,מרכז,תל אביב
15542,הדרור/שדרות דואני,31.87139,34.742241,מרכז,תל אביב
15753,שד. דואני/הדרור,31.870255,34.742603,מרכז,תל אביב
15543,הדרור/אבו חצירא,31.874171,34.743827,מרכז,תל אביב
16155,הדרור/דוכיפת,31.876914,34.74539,מרכז,תל אביב
15544,אבו חצירא/החבצלת,31.874171,34.74515,מרכז,תל אביב
15740,אהרון חג'ג'/הדרור,31.877638,34.746447,מרכז,תל אביב
16019,שדרות העצמאות/אהרון חג'ג',31.875752,34.74938,מרכז,תל אביב
16451,שבזי/היסמין,31.876059,34.747575,מרכז,תל אביב
16148,העצמאות/אבו חצירא,31.871982,34.748531,מרכז,תל אביב
15546,הנשיאים / העצמאות,31.872249,34.74937,מרכז,תל אביב
16020,העצמאות/דואני,31.869305,34.746559,מרכז,תל אביב
25364,שדרות העצמאות/שדרות דואני,31.868148,34.745696,מרכז,תל אביב
15741,עירייה/שד. דואני,31.869487,34.744526,מרכז,תל אביב
16021,העצמאות/אזור התעשייה,31.864158,34.743644,מרכז,תל אביב
16447,שדרות הראשונים/שדרות העצמאו,31.868267,34.746802,מרכז,תל אביב
15742,גיבורי החיל/עולי הגרדום,31.868694,34.742726,מרכז,תל אביב
33886,שדרות דואני/שבזי,31.870119,34.743226,מרכז,תל אביב
15744,המיסב/העמל,31.864023,34.742128,מרכז,תל אביב
15539,חטיבת גבעתי/גן סנהדרין,31.867885,34.741598,מרכז,תל אביב
35714,הנמל/גיבורי החיל,31.864745,34.74059,מרכז,תל אביב
35721,גיבורי החיל/הנמל,31.864034,34.740997,מרכז,תל אביב
15745,ת. רכבת יבנה מזרח,31.862017,34.744082,מרכז,תל אביב
16424,המיסב/העצמאות,31.864043,34.742254,מרכז,תל אביב
16022,ת. רכבת יבנה מזרח/העצמאות,31.86195,34.742601,מרכז,תל אביב
15538,ת. רכבת יבנה מזרח/העצמאות,31.862474,34.743141,מרכז,תל אביב
15598,יבנה/אזור תעשייה,31.867076,34.745408,מרכז,תל אביב
37310,דימונה,31.068597,35.01171,דרום,פריפריה
37314,באר שבע צפון,31.262089,34.809287,דרום,באר שבע
37312,באר שבע מרכז,31.242886,34.798546,דרום,באר שבע
39260,אופקים,31.322628,34.634078,דרום,באר שבע
37308,להבים רהט,31.369907,34.79804,דרום,באר שבע
37316,קרית גת,31.603526,34.777955,מרכז,פריפריה
37324,אשקלון,31.676856,34.604447,מרכז,פריפריה
37290,שדרות,31.515877,34.586059,דרום,פריפריה
37326,אשדוד עד הלום,31.774061,34.666059,מרכז,פריפריה
38643,נתיבות,31.410871,34.571423,דרום,פריפריה
37328,יבנה מזרח,31.861702,34.744295,מרכז,תל אביב
37300,יבנה מערב,31.891676,34.731526,מרכז,תל אביב
37332,רחובות,31.908691,34.806351,מרכז,תל אביב
37330,באר יעקב,31.932781,34.828591,מרכז,תל אביב
37338,לוד,31.947694,34.879159,מרכז,תל אביב
37340,כפר חבד,31.993188,34.85303,מרכז,תל אביב
37298,ראשונים,31.948927,34.802622,מרכז,תל אביב
37334,לוד גני אביב,31.966977,34.87879,מרכז,תל אביב
37336,רמלה,31.928809,34.877304,מרכז,תל אביב
37292,תל אביב ההגנה,32.053978,34.784839,מרכז,תל אביב
37350,השלום,32.073346,34.793256,מרכז,תל אביב
37306,נתב''ג,32.00036,34.870481,מרכז,תל אביב
37346,חולון וולפסון,32.035462,34.759782,מרכז,תל אביב
37348,צומת חולון,32.037036,34.776461,מרכז,תל אביב
37294,רשל''צ משה דיין,31.987987,34.757392,מרכז,תל אביב
37358,תל אביב מרכז,32.083715,34.798247,מרכז,תל אביב
37360,תא אוניברסיטה,32.103516,34.804499,מרכז,תל אביב
37362,הרצליה,32.163558,34.817406,מרכז,תל אביב
37356,בני ברק,32.102938,34.830131,מרכז,תל אביב
37372,בנימינה,32.514386,34.949573,צפון,פריפריה
37364,בית יהושע,32.262346,34.860112,מרכז,תל אביב
37366,נתניה,32.319915,34.869257,מרכז,תל אביב
37376,חוף הכרמל,32.7936,34.957404,צפון,חיפה
37368,חדרה מערב,32.438199,34.899321,מרכז,פריפריה
42417,רעננה מערב,32.180006,34.850737,מרכז,תל אביב
40640,נתניה קריית ספיר,32.278832,34.865175,מרכז,תל אביב
37370,קיסריה פרדס חנה,32.485187,34.954099,מרכז,פריפריה
37374,עתלית,32.692924,34.940314,צפון,חיפה
37396,פאתי מודיעין,31.893133,34.960682,ירושלים,תל אביב
42286,ירושלים/יצחק נבון,31.788062,35.202545,ירושלים,ירושלים
37394,מודיעין מרכז,31.901238,35.005712,מרכז,תל אביב
37322,בית שמש,31.757821,34.989515,ירושלים,פריפריה
42418,מזכרת בתיה,31.841507,34.855948,מרכז,תל אביב
37380,חיפה מרכז,32.822306,34.997177,צפון,חיפה
37378,בת גלים,32.830498,34.981888,צפון,חיפה
41293,קרית מוצקין,32.833133,35.07003,צפון,חיפה
37388,מרכזית המפרץ/קו החוף,32.793921,35.037079,צפון,חיפה
42507,מרכזית המפרץ,32.792942,35.032964,צפון,חיפה
40584,כפר יהושע,32.681069,35.124624,צפון,חיפה
40581,כפר ברוך,32.647554,35.207967,צפון,פריפריה
37384,עכו,32.928339,35.082984,צפון,חיפה
41291,אחיהוד,32.91159,35.174068,צפון,חיפה
37392,קרית חיים,32.824918,35.06429,צפון,חיפה
37386,חוצות מפרץ,32.809527,35.054514,צפון,חיפה
37382,נהריה,33.005075,35.09871,צפון,פריפריה
42419,קרית מלאכי,31.747335,34.822479,מרכז,פריפריה
37354,קרית אריה,32.106273,34.863205,מרכז,תל אביב
