stop_id,stop_name,lat,lon,region,metro
37314,באר שבע צפון,31.262089,34.809287,דרום,באר שבע
37338,לוד,31.947694,34.879159,מרכז,תל אביב
37336,רמלה,31.928809,34.877304,מרכז,תל אביב
37292,תל אביב ההגנה,32.053978,34.784839,מרכז,תל אביב
37306,נתב''ג,32.00036,34.870481,מרכז,תל אביב
37358,תל אביב מרכז,32.083715,34.798247,מרכז,תל אביב
37376,חוף הכרמל,32.7936,34.957404,צפון,חיפה
37396,פאתי מודיעין,31.893133,34.960682,ירושלים,תל אביב
37380,חיפה מרכז,32.822306,34.997177,צפון,חיפה
41293,קרית מוצקין,32.833133,35.07003,צפון,חיפה
40581,כפר ברוך,32.647554,35.207967,צפון,פריפריה
37384,עכו,32.928339,35.082984,צפון,חיפה
41291,אחיהוד,32.91159,35.174068,צפון,חיפה
40582,עפולה,32.622003,35.294721,צפון,פריפריה
37734,לוחמי הגטאות/בר כוכבא,31.800798,35.240211,ירושלים,ירושלים
41133,מחלף חמד,31.801002,35.12454,ירושלים,ירושלים
9048,בן גוריון/שערי ירושלים,31.791535,35.196465,ירושלים,ירושלים
9553,גשר המיתרים/שד' הרצל,31.787322,35.199369,ירושלים,ירושלים
3149,השיטה/מגרשי טניס,32.766176,35.039407,צפון,חיפה
2356,קניון לב המפרץ/ההסתדרות,32.793209,35.038917,צפון,חיפה
48898,ביג שער העיר,32.786913,35.029253,צפון,חיפה
17505,שדרות ההסתדרות/צומת הקריות,32.789491,35.028864,צפון,חיפה
37221,מחנה נבטים,31.172342,35.042848,דרום,פריפריה
26792,התעשייה/פלדה,31.247507,35.202591,דרום,פריפריה
26841,מואב/לשם,31.261248,35.227576,דרום,פריפריה
26842,מואב/לשם,31.26135,35.228355,דרום,פריפריה
15294,נירים/צמרות,31.957854,34.881945,מרכז,תל אביב
15255,תחנת רכבת לוד/יוספטל,31.946838,34.879725,מרכז,תל אביב
24787,צומת צריפין לצפון,31.969932,34.843347,מרכז,תל אביב
12975,מחלף לה גווארדייה,32.059454,34.786354,מרכז,תל אביב
25398,אזור/מר. שפינוזה,32.023651,34.803576,מרכז,תל אביב
24404,וייצמן/רוטשילד,32.175091,34.909718,מרכז,תל אביב
