from_stop,to_stop,distance_m
31,32,294.1
32,33,314.3
36,24691,30.8
50,35515,243.7
174,39127,443.2
196,201,433.7
459,478,495.8
557,559,453.2
566,567,489.8
655,15156,436.6
656,15169,169.9
770,771,10.1
800,17248,341.5
983,44845,449.0
990,15122,356.5
1040,17256,24.9
1068,4042,493.7
1086,40179,423.3
1090,17432,494.3
1108,1110,50.6
1111,17432,494.8
1219,1220,145.1
1294,3999,35.0
1379,17462,464.0
1412,1413,11.3
1457,3923,130.6
1478,1479,74.4
1489,49163,440.0
1517,48400,486.4
1532,17240,11.8
1602,4025,251.0
1706,1707,473.9
1706,1708,113.7
1715,1716,117.2
1717,1728,278.9
1729,1730,115.0
1733,2688,77.6
1737,2967,225.8
1747,2602,85.7
1752,1757,42.5
1765,18805,439.2
1766,20721,438.7
2339,2340,182.6
2387,17006,491.2
2459,2974,238.4
2462,3093,242.2
2462,49175,339.4
2464,3093,300.2
2648,37468,152.7
2649,17501,490.4
2673,3668,147.6
2953,2965,130.0
2973,17501,124.5
2974,49073,317.1
3330,46611,18.9
3548,3549,378.1
4000,4001,130.4
4128,4131,183.5
4129,4130,145.8
4173,18793,425.0
4181,20920,46.2
4205,18971,493.8
4225,17748,204.3
4282,19934,103.6
4286,4287,173.1
4315,50588,107.6
4322,4323,214.0
4333,4334,155.8
4366,21273,312.4
4368,4369,144.1
4374,4375,126.6
4390,4391,100.2
4403,4404,88.5
4407,20298,102.8
4408,4409,96.2
4410,4411,122.6
4412,4413,65.6
4419,4420,240.9
4428,4429,64.2
4430,4431,97.7
4446,4447,15.3
4495,4496,127.0
4511,4729,468.2
4516,4697,297.5
4637,4638,129.4
4644,4645,375.4
4653,4984,368.6
4662,4688,140.3
4686,5098,176.2
4692,4693,219.7
4710,50931,477.8
4724,4725,121.7
4731,4732,94.8
4732,4769,453.9
4733,4734,136.8
4737,4738,132.0
4744,18844,161.3
4758,4816,335.0
4769,4770,106.1
4771,4772,110.3
4776,4777,112.7
4783,4784,100.1
4787,4788,84.7
4787,4844,494.3
4789,5198,102.7
4792,4793,130.7
4796,4797,71.5
4800,4801,121.1
4802,4803,114.2
4836,4837,164.5
4843,4844,253.9
4863,4864,121.1
4863,51723,439.1
4896,4897,18.9
4901,4902,165.2
4962,6361,66.8
4983,5098,493.3
4983,5050,12.2
5032,50057,119.0
5043,50492,139.6
5045,35389,208.8
5095,35362,466.9
5131,5157,428.7
5223,5635,126.5
5223,5634,430.5
5228,5630,192.4
5229,5629,113.8
5229,39204,478.0
5269,5672,374.9
5270,5672,180.6
5292,5643,468.6
5293,5643,86.3
5294,5642,109.1
5311,5684,130.9
5483,5751,452.7
5502,6359,328.8
5506,5772,106.9
5507,5773,106.9
5587,19865,53.1
5591,5592,12.4
5644,5815,494.7
5652,5653,481.1
5746,5747,458.2
5748,5749,475.0
5749,50174,456.9
5772,50569,455.1
5784,5785,80.9
5927,35366,449.6
5982,5983,367.8
6102,21299,195.8
6103,20309,66.5
6349,6352,404.1
6383,19606,402.1
6433,6443,102.0
6451,18244,499.4
6455,17997,450.9
6519,20229,267.6
6571,7240,493.6
6589,17811,439.4
6600,17866,326.6
6663,39880,442.1
6697,50871,426.2
6868,6869,86.1
6922,6923,38.6
6931,18789,494.4
6937,42432,440.7
6953,20673,476.3
6978,6981,114.4
7032,17605,67.7
7038,37191,112.3
7040,7041,15.1
7044,7045,115.7
7052,7053,351.8
7054,7061,188.4
7054,20100,474.9
7064,39975,485.4
7081,7082,211.0
7082,37192,492.0
7089,7090,432.9
7097,7099,410.5
7114,35462,447.3
7126,7127,435.7
7133,7134,174.0
7178,18795,274.0
7191,19724,457.2
7243,39965,413.5
7255,18758,13.1
7257,18296,352.8
7271,7272,98.1
7273,18759,124.2
7296,7318,44.9
7300,7301,123.8
7302,8056,124.4
7303,7323,166.1
7317,7868,106.9
7322,7324,100.4
7329,7330,236.0
7330,7715,408.6
7333,7334,90.5
7335,8433,24.7
7336,41447,112.5
7590,7591,111.1
7617,7707,57.6
7628,8046,462.4
7628,7631,140.5
7680,7681,126.2
7684,7686,157.4
7688,7689,405.0
7702,7939,10.0
7705,7706,19.5
7728,34838,218.0
7729,7734,19.3
7731,40165,428.9
7732,34834,57.0
7735,7809,20.0
7749,34782,151.6
7749,34787,455.4
7762,7763,107.9
7764,7765,57.2
7779,50394,122.4
7813,7938,295.4
7815,7817,10.1
7823,7824,422.6
7824,50101,496.0
7832,7833,279.3
7833,38161,403.3
7835,37526,444.4
7851,8427,422.8
7861,35433,94.3
7961,7962,71.6
7963,8053,127.9
7980,41138,484.0
7996,7997,42.0
8003,8361,34.9
8009,8012,434.5
8028,34604,137.5
8033,8428,93.5
8040,8399,104.4
8052,8083,237.3
8058,34829,316.5
8218,8219,64.8
8240,38891,311.1
8305,38849,56.1
8316,8317,10.3
8351,8362,73.5
8430,34711,47.5
8441,34698,20.5
8455,8469,74.2
8458,8466,27.6
8461,41545,485.3
8494,42845,237.3
8559,8611,14.1
9062,11431,136.7
9184,9883,19.7
10795,10796,104.2
10797,10798,233.5
10807,11255,48.7
10808,10809,130.9
10860,10861,468.8
10861,10862,202.7
10887,10888,435.5
10887,25815,118.8
10888,10889,270.1
11039,11082,423.8
11045,11046,107.7
11047,11048,107.4
11047,46573,491.5
11049,11050,132.9
11051,11052,22.9
11093,41495,466.4
11127,11248,324.3
11145,11146,52.1
11152,11153,108.1
11154,11156,443.7
11157,37036,362.1
11157,11158,254.7
11222,11223,80.0
11260,24701,18.9
11960,27923,422.5
11962,27699,122.7
11972,50216,15.9
12032,12043,260.7
12042,26402,105.0
12044,39653,375.7
12047,12048,408.5
12050,26735,396.8
12064,28523,26.0
12116,26577,441.4
12119,12121,93.3
12120,39577,338.6
12128,12304,127.5
12132,12276,140.9
12138,12139,122.9
12186,12348,105.2
12186,12359,405.8
12196,12197,453.0
12197,12282,157.8
12214,12217,108.2
12219,12236,371.0
12227,12291,142.5
12228,12229,273.6
12241,12269,189.8
12268,12342,95.2
12270,12283,109.8
12280,12281,105.4
12288,12289,121.9
12301,12317,280.3
12305,29190,137.0
12316,25823,140.1
12318,12570,127.2
12345,12347,117.4
12375,44149,75.2
12388,12687,106.2
12394,12693,203.2
12426,12428,75.6
12430,12431,127.9
12468,12533,114.5
12471,12476,149.9
12473,12502,65.3
12475,12500,60.3
12477,12708,87.2
12482,42226,256.7
12490,12685,125.5
12523,12530,135.8
12527,12699,160.9
12546,12547,113.2
12548,12691,56.6
12644,29296,437.9
12688,12694,46.8
12689,12702,134.0
12690,25834,155.5
12715,12716,100.5
12765,29096,379.6
12802,28419,467.7
13350,14119,65.0
14605,15219,91.7
14605,50491,455.7
14607,50491,96.5
14607,49195,449.8
14692,48931,352.9
14779,24901,11.1
14810,14813,151.1
14846,14847,237.9
14847,14858,369.5
14856,16694,132.0
14858,14861,214.2
14876,16694,488.0
14893,21563,227.9
14893,44895,457.0
14907,14921,278.5
14907,24938,435.1
14928,24980,488.0
14928,24926,56.8
14944,21726,382.2
14946,24898,127.2
14970,24914,130.8
14973,24898,398.4
14984,15024,459.6
15009,21456,12.5
15026,15041,415.8
15057,15065,356.4
15057,24878,328.7
15065,15073,337.4
15070,15071,122.9
15071,24866,480.3
15096,21846,130.6
15096,21960,499.6
15156,46339,473.7
15169,24900,408.6
15174,24970,384.7
15224,50485,108.8
15370,37334,34.9
15417,16040,205.6
15424,16100,173.6
15424,16898,467.2
15534,16027,85.3
15572,16017,101.7
15573,16016,132.3
15574,16015,113.1
15578,16010,156.9
15599,16071,122.4
15655,16258,127.6
15695,15792,420.3
15711,15871,153.7
15716,15893,365.2
15723,22309,195.5
15779,25147,146.2
15792,15793,127.1
15824,16005,133.6
15871,25138,429.0
15904,21960,123.1
15911,15975,317.6
15934,15935,144.5
15944,51214,110.6
15974,21927,369.4
15975,15976,461.3
15989,41826,444.7
16009,25152,163.8
16017,22006,437.4
16290,51688,395.6
16296,22379,71.2
16350,23199,125.9
16490,21580,119.3
16583,24748,163.6
16583,22286,442.3
16771,16772,209.7
16773,25204,344.4
16871,16872,465.2
16872,40786,208.6
16873,40786,470.5
17002,17003,192.0
17242,17260,498.6
17242,17261,43.3
17256,36111,493.8
17303,42430,71.9
17429,40178,434.1
17458,35660,484.8
17566,19087,107.0
17739,17740,94.6
17788,19584,476.2
17804,17805,132.6
17836,17837,71.3
17848,17849,11.4
17859,17861,245.5
17914,17923,265.4
17934,17935,104.8
18008,21291,245.3
18062,18063,95.3
18077,51960,51.4
18234,51777,441.3
18243,18244,154.8
18293,18294,146.1
18308,18309,125.7
18356,18360,121.8
18419,35296,123.1
18738,18739,163.3
18747,18748,116.6
18757,41347,352.4
18778,38755,499.1
18820,50846,418.5
18826,18829,148.9
18828,18830,110.1
18844,18845,359.2
18938,18940,499.1
18939,18940,86.0
18939,19673,482.6
18962,19898,14.6
18965,43122,453.0
18966,20044,466.5
18975,19495,487.2
18978,18979,476.7
18994,39151,490.7
19011,19958,23.5
19132,19444,443.2
19446,39186,343.5
19447,19950,123.6
19449,20004,85.4
19568,19832,94.2
19577,19580,133.4
19592,19593,123.9
19594,19596,138.7
19597,19599,173.1
19629,19632,10.2
19630,19631,10.4
19635,20359,41.2
19677,19678,498.0
19739,37141,92.3
19800,37271,260.6
19866,19867,104.5
19942,19943,78.5
19961,19962,103.1
19984,20016,70.1
20017,20311,486.3
20030,20056,23.6
20055,51050,165.3
20075,20089,49.3
20100,39970,473.5
20102,21280,271.7
20141,42564,375.8
20143,35579,397.5
20219,20220,486.9
20251,20252,14.7
20288,20304,114.3
20326,20364,404.9
20332,49750,95.7
20343,41704,169.9
20408,20409,427.7
20411,20412,286.2
20467,20469,148.7
20481,20483,151.0
20491,20492,157.3
20624,20625,143.6
20709,20712,95.3
20710,20711,141.8
20721,35263,117.8
20794,20795,126.1
20829,20830,459.6
20874,20875,18.8
21253,21254,141.1
21305,42414,48.4
21319,21473,130.4
21321,24787,479.2
21321,50788,145.6
21323,21471,407.7
21323,21472,122.8
21324,21471,133.8
21449,21459,385.9
21453,21454,338.0
21455,21459,130.9
21457,21458,129.9
21462,50798,471.3
21465,21466,324.4
21558,21584,117.9
21562,21563,498.4
21565,44895,66.3
21588,24181,58.0
21713,21714,40.5
21737,23128,141.0
21740,21741,490.1
21741,21742,225.2
21753,21754,139.2
21759,21760,374.7
21770,21771,465.4
21771,21772,281.1
21773,21774,326.9
21774,21775,368.1
21775,21776,411.5
21853,22319,158.8
21859,22239,163.3
21880,24167,29.2
21927,21928,366.5
22063,23101,153.0
22064,23100,136.6
22065,23099,114.8
22066,23098,128.6
22068,23127,223.1
22092,23136,66.0
22116,22309,431.3
22257,23199,390.3
22266,22284,139.4
22267,22284,452.6
22282,51214,460.0
22293,38581,489.6
22352,38580,10.6
22397,43930,59.8
22398,43926,251.2
22561,38307,200.0
22859,37117,434.8
22886,23582,489.9
22889,42110,499.7
22987,38080,109.5
23189,23190,79.8
23223,40909,453.9
23245,23246,286.5
23589,23590,247.4
23590,23791,479.2
23590,23591,471.9
23751,23844,119.2
23769,44752,104.6
23783,23784,284.2
23791,42110,277.7
24854,50505,457.0
24965,24966,253.7
25057,25058,65.1
25139,25147,401.1
25173,25179,488.5
25180,25181,260.4
25203,50098,117.7
25688,25947,440.2
25688,25948,179.7
25691,25945,131.5
25723,25724,135.0
25723,26017,480.9
25732,25898,253.3
25738,43764,463.1
25738,34322,425.0
25746,25955,339.6
25816,28660,443.9
25864,25880,129.6
25897,25992,460.9
26027,50082,137.5
26361,28016,455.5
26493,28322,125.0
26522,28521,126.7
26566,26569,10.6
26568,28633,356.4
26570,26572,127.8
26583,28543,134.1
26589,26594,10.3
26590,28538,10.8
26593,27803,137.8
26601,26602,139.1
26614,26615,91.6
26622,26631,190.9
26625,26626,114.7
26629,28546,14.4
26632,26923,126.9
26634,28526,175.0
26639,26645,48.5
26640,26642,111.1
26643,26644,116.7
26670,26671,176.1
26683,26685,173.5
26686,26687,168.0
26688,28833,459.0
26694,26695,42.0
26704,26899,157.2
26727,26729,208.9
26730,28731,267.6
26735,26736,344.6
26770,28561,184.5
26776,28245,100.8
26777,28182,55.0
26781,28563,177.1
26782,26784,471.5
26985,41181,213.9
26990,41157,324.9
27005,27922,41.5
27018,39593,339.3
27031,28625,488.6
27036,27037,303.7
27058,41183,382.8
27066,27774,456.2
27272,39770,26.5
27304,41904,437.9
27312,27752,492.5
27313,50384,433.7
27318,41158,50.8
27319,41182,374.1
27608,28473,492.3
27626,27627,98.5
