stop_id,stop_name,region,metro,lat,lon,degree,degree_centrality,in_degree,out_degree,pagerank,betweenness,harmonic
1,בי''ס בר לב/בן יהודה,מרכז,תל אביב,32.183985,34.917554,10,0.000286,10,10,2.587e-05,0.0,0.0
2,הרצל/צומת בילו,מרכז,תל אביב,31.869152,34.819641,13,0.000372,13,13,4.065e-05,0.0,0.0
3,מרכז ראשונים/הנחשול,מרכז,תל אביב,31.984553,34.782828,16,0.000458,16,16,2.701e-05,0.00520069,262.7696
4,משה פריד/יצחק משקה,מרכז,תל אביב,31.888325,34.7907,23,0.000658,23,23,3.606e-05,0.0,0.0
6,ת. מרכזית לוד/הורדה,מרכז,תל אביב,31.956392,34.898098,18,0.000515,18,18,0.00010376,5.681e-05,158.347
7,חנה אברך/וולקני,מרכז,תל אביב,31.892166,34.796071,14,0.000401,14,14,2.491e-05,0.0,0.0
8,הרצל/משה שרת,מרכז,תל אביב,31.857565,34.824106,10,0.000286,10,10,3.213e-05,0.0,0.0
9,הבנים/אלי כהן,מרכז,תל אביב,31.862305,34.821857,14,0.000401,14,14,4.71e-05,0.0,0.0
10,ויצמן/הבנים,מרכז,תל אביב,31.865085,34.822237,17,0.000487,17,17,3.127e-05,0.0,0.0
11,האירוס/הכלנית,מרכז,תל אביב,31.865222,34.818957,19,0.000544,19,19,3.687e-05,0.0,0.0
12,הכלנית/הנרקיס,מרכז,תל אביב,31.867597,34.818392,18,0.000515,18,18,3.037e-05,0.0,0.0
14,אלי כהן/לוחמי הגטאות,מרכז,תל אביב,31.86244,34.827023,11,0.000315,11,11,2.408e-05,0.0,0.0
15,שבזי/שבת אחים,מרכז,תל אביב,31.863501,34.828702,5,0.000143,5,5,2.267e-05,0.0,0.0
16,שבזי/ויצמן,מרכז,תל אביב,31.865348,34.827102,10,0.000286,10,10,2.781e-05,0.0,0.0
17,חיים ברלב/שדרות יצחק רבין,מרכז,תל אביב,31.978011,34.764342,13,0.000372,13,13,2.882e-05,0.00024532,247.0821
18,מרכז לבריאות הנפש לב השרון,מרכז,תל אביב,32.300345,34.912708,14,0.000401,14,14,2.789e-05,0.0,0.0
19,מרכז לבריאות הנפש לב השרון,מרכז,תל אביב,32.301347,34.912602,14,0.000401,14,14,3.046e-05,0.0,0.0
21,אנדרטה לנופלים/עמנואל הלזנר,מרכז,תל אביב,31.852746,34.836175,8,0.000229,8,8,3.877e-05,0.0,0.0
