stop_id,stop_name,region,metro,lat,lon,degree,degree_centrality,in_degree,out_degree,pagerank,betweenness,harmonic
24089,יוסף לישנסקי/שייקה דן,מרכז,תל אביב,31.994753,34.767269,8,0.000229,8,8,1.496e-05,0.36392426,284.4596
15797,דוד סחרוב/החומה,מרכז,תל אביב,31.991525,34.77033,15,0.000429,15,15,2.044e-05,0.35126061,285.533
971,רוז'נסקי/דוד רזיאל,מרכז,תל אביב,31.987031,34.770425,25,0.000716,25,25,3.088e-05,0.30912619,286.2082
15816,משה דיין/גדולי ישראל,מרכז,תל אביב,31.980484,34.775576,17,0.000487,17,17,2.435e-05,0.30127086,277.2803
24158,הלוחמים/תל גיבורים,מרכז,תל אביב,32.035433,34.767471,20,0.000573,20,20,2.319e-05,0.28687565,359.9798
13419,תל גיבורים/שז''ר,מרכז,תל אביב,32.039365,34.769639,19,0.000544,19,19,2.824e-05,0.24088538,365.8098
21389,אילת/התנאים,מרכז,תל אביב,32.006547,34.764681,16,0.000458,16,16,2.606e-05,0.2350357,302.8625
13246,בית ספר הולץ/חיל השריון,מרכז,תל אביב,32.046238,34.783261,13,0.000372,13,13,2.429e-05,0.23176601,360.995
50117,תחנות מוניות תל אביב איצטדיון בני יהודה,מרכז,תל אביב,32.049545,34.786635,8,0.000229,8,8,1.546e-05,0.23129329,356.2573
13616,אצ''ל/חנוך,מרכז,תל אביב,32.050613,34.791725,17,0.000487,17,17,2.557e-05,0.23038437,368.6097
23979,אילת/דוד רמז,מרכז,תל אביב,32.010647,34.765017,15,0.000429,15,15,2.757e-05,0.21324317,315.7676
23415,משה דיין/לוי אשכול,מרכז,תל אביב,31.979243,34.780344,17,0.000487,17,17,2.487e-05,0.20498658,273.238
34117,גולדה מאיר/הסיתוונית,מרכז,תל אביב,31.976016,34.784023,17,0.000487,17,17,2.848e-05,0.20413452,269.3322
21678,ירושלים/שרה ואליהו,מרכז,תל אביב,31.962236,34.810559,13,0.000372,13,13,2.789e-05,0.20358737,237.7633
13434,הקשת/השופר,מרכז,תל אביב,32.043928,34.776028,14,0.000401,14,14,1.67e-05,0.1994393,367.9584
