stop_id,stop_name,region,metro,lat,lon,degree,degree_centrality,in_degree,out_degree,pagerank,betweenness,harmonic
41133,מחלף חמד,ירושלים,ירושלים,31.801002,35.12454,62,0.002035,25,37,0.00012536,0.08074954,4733.7566
41132,מחלף חמד,ירושלים,ירושלים,31.80033,35.126238,44,0.001444,32,12,0.00039912,0.08072416,4681.0911
9048,בן גוריון/שערי ירושלים,ירושלים,ירושלים,31.791535,35.196465,41,0.001346,18,23,8.513e-05,0.05528422,4604.5665
10716,צומת רמות/גולדה,ירושלים,ירושלים,31.808253,35.204001,40,0.001313,17,23,0.00019086,0.0112478,4244.4672
10775,גשר המיתרים/שד' הרצל,ירושלים,ירושלים,31.787162,35.199533,37,0.001215,24,13,0.00017693,0.01055441,4350.364
9046,ויצמן/גבעת שאול,ירושלים,ירושלים,31.790348,35.197526,36,0.001182,25,11,0.00021822,0.02820226,4528.9275
12975,מחלף לה גווארדייה,מרכז,תל אביב,32.059454,34.786354,34,0.001116,22,12,0.00012842,0.0249305,4431.746
10790,צומת רמות/גולדה,ירושלים,ירושלים,31.809649,35.204075,31,0.001018,24,7,0.00013953,0.00451344,4208.1124
13354,ת. רכבת תל אביב - סבידור/דרך נמיר,מרכז,תל אביב,32.083482,34.795008,31,0.001018,22,9,9.893e-05,0.01354952,4134.5011
13246,בית ספר הולץ/חיל השריון,מרכז,תל אביב,32.046238,34.783261,31,0.001018,15,16,9.146e-05,0.0262135,3980.8956
7562,שדרות בית הלל/כניסה לעיר,מרכז,תל אביב,31.936583,35.035446,29,0.000952,24,5,8.232e-05,0.06568018,4556.8953
7444,דרך האר''י/ כביש 375,ירושלים,ירושלים,31.704533,35.126243,29,0.000952,7,22,5.632e-05,0.06456275,4421.8011
8750,אצטדיון טדי/א''ס ביתר,ירושלים,ירושלים,31.751345,35.188474,27,0.000886,14,13,0.0001109,0.011691,4061.4275
10264,צומת רמות/ידין,ירושלים,ירושלים,31.806286,35.204892,27,0.000886,17,10,6.612e-05,0.00352725,4067.6116
13322,המסגר/הרכב,מרכז,תל אביב,32.06366,34.78558,27,0.000886,19,8,0.00016694,0.00107721,3937.6274
