stop_id,stop_name,region,metro,lat,lon,degree,degree_centrality,in_degree,out_degree,pagerank,betweenness,harmonic
41133,מחלף חמד,ירושלים,ירושלים,31.801002,35.12454,62,0.002035,25,37,0.00012536,0.08074954,4733.7566
41132,מחלף חמד,ירושלים,ירושלים,31.80033,35.126238,44,0.001444,32,12,0.00039912,0.08072416,4681.0911
9048,בן גוריון/שערי ירושלים,ירושלים,ירושלים,31.791535,35.196465,41,0.001346,18,23,8.513e-05,0.05528422,4604.5665
27689,מחלף קמה לצפון,דרום,באר שבע,31.442254,34.766984,24,0.000788,10,14,9.228e-05,0.07324505,4582.2913
17303,ת.התרעננות/דור אלון מגל 6,מרכז,פריפריה,32.380891,35.017969,16,0.000525,9,7,9.66e-06,0.10626263,4581.0306
7562,שדרות בית הלל/כניסה לעיר,מרכז,תל אביב,31.936583,35.035446,29,0.000952,24,5,8.232e-05,0.06568018,4556.8953
13274,מחלף גבעת שמואל/כביש 4,מרכז,תל אביב,32.074823,34.843553,24,0.000788,6,18,9.292e-05,0.03976986,4549.2843
9046,ויצמן/גבעת שאול,ירושלים,ירושלים,31.790348,35.197526,36,0.001182,25,11,0.00021822,0.02820226,4528.9275
23418,רבי יהודה הנשיא/כניסה לעיר,מרכז,תל אביב,32.052593,34.944195,24,0.000788,22,2,4.685e-05,0.03743714,4515.0161
29350,מחלף מסובים,מרכז,תל אביב,32.036975,34.829135,27,0.000886,10,17,5.111e-05,0.02703817,4477.3647
11081,מחלף הרטוב,ירושלים,פריפריה,31.767124,34.99773,18,0.000591,5,13,9.255e-05,0.01099938,4439.0364
12975,מחלף לה גווארדייה,מרכז,תל אביב,32.059454,34.786354,34,0.001116,22,12,0.00012842,0.0249305,4431.746
23543,יסודות/מזכירות,מרכז,פריפריה,31.815141,34.864194,19,0.000624,11,8,4.075e-05,0.00749701,4430.2343
7444,דרך האר''י/ כביש 375,ירושלים,ירושלים,31.704533,35.126243,29,0.000952,7,22,5.632e-05,0.06456275,4421.8011
42430,ת.התרעננות/דור אלון מגל כביש 6,מרכז,פריפריה,32.38104,35.017224,15,0.000492,8,7,1.495e-05,0.03422246,4420.7843
