stop_id,stop_name,region,metro,lat,lon,degree,degree_centrality,in_degree,out_degree,pagerank,betweenness,harmonic
44784,מסוף מועצה אזורית אשכול/הורדה,דרום,פריפריה,31.302042,34.431751,20,0.000573,20,20,0.00022885,0.0,0.0
40823,ת. רכבת כפר ברוך/הורדה,צפון,פריפריה,32.647823,35.209905,7,0.0002,7,7,0.00011122,0.0,0.0
50681,תחנת רכבת ראש העין צפון/הורדה,מרכז,תל אביב,32.121336,34.934637,15,0.000429,15,15,0.00011099,0.0,0.0
40818,ת. רכבת בית שאן/הורדה,צפון,פריפריה,32.515538,35.48903,7,0.0002,7,7,0.00010545,0.0,0.0
42650,דרך שיבא/אלוף שדה,מרכז,תל אביב,32.056602,34.833844,21,0.000601,21,21,0.00010397,0.01319322,322.185
6,ת. מרכזית לוד/הורדה,מרכז,תל אביב,31.956392,34.898098,18,0.000515,18,18,0.00010376,5.681e-05,158.347
41599,שדרות החשמונאים/לב העיר,מרכז,תל אביב,31.900044,35.00669,32,0.000916,32,32,0.00010233,0.0,0.0
51921,תחנה תפעולית/מסוף גולדה,מרכז,תל אביב,32.077413,34.784747,32,0.000916,32,32,9.835e-05,0.00851554,406.7036
26959,מרכז פיס נווה אשכול,דרום,פריפריה,31.302762,34.432933,20,0.000573,20,20,9.457e-05,0.0,0.0
858,תחנה מרכזית כפ''ס/ויצמן,מרכז,תל אביב,32.173927,34.91483,27,0.000773,27,27,9.436e-05,0.0,0.0
43584,רכבת אשקלון/הורדה,מרכז,פריפריה,31.677222,34.60484,14,0.000401,14,14,9.408e-05,0.0,0.0
5763,ת. מרכזית טבריה/הירדן,צפון,פריפריה,32.78769,35.536801,48,0.001374,48,48,9.386e-05,0.0,0.0
50398,מרכז תחבורתי הארזים/עירוני,ירושלים,ירושלים,31.808121,35.204758,25,0.000716,25,25,9.363e-05,0.0,0.0
37842,תחנת מוניות אשדוד רכבת,מרכז,פריפריה,31.77481,34.666154,36,0.001031,36,36,9.106e-05,0.0,0.0
51656,מסוף אור יהודה/הורדה,מרכז,תל אביב,32.021503,34.854389,6,0.000172,6,6,8.864e-05,0.0,193.4638
