removed,lcc_size,lcc_share,strategy
0,4472.0,0.128,degree (גבוה→נמוך)
10,4462.0,0.1277,degree (גבוה→נמוך)
21,4451.0,0.1274,degree (גבוה→נמוך)
31,4441.0,0.1271,degree (גבוה→נמוך)
41,4431.0,0.1268,degree (גבוה→נמוך)
52,4420.0,0.1265,degree (גבוה→נמוך)
62,4413.0,0.1263,degree (גבוה→נמוך)
72,4406.0,0.1261,degree (גבוה→נמוך)
83,4402.0,0.126,degree (גבוה→נמוך)
93,4400.0,0.126,degree (גבוה→נמוך)
103,4400.0,0.126,degree (גבוה→נמוך)
114,4400.0,0.126,degree (גבוה→נמוך)
124,4400.0,0.126,degree (גבוה→נמוך)
134,4400.0,0.126,degree (גבוה→נמוך)
145,4400.0,0.126,degree (גבוה→נמוך)
155,4393.0,0.1258,degree (גבוה→נמוך)
166,4383.0,0.1255,degree (גבוה→נמוך)
176,4376.0,0.1253,degree (גבוה→נמוך)
186,4368.0,0.125,degree (גבוה→נמוך)
197,4366.0,0.125,degree (גבוה→נמוך)
207,4366.0,0.125,degree (גבוה→נמוך)
217,4366.0,0.125,degree (גבוה→נמוך)
228,4366.0,0.125,degree (גבוה→נמוך)
238,4366.0,0.125,degree (גבוה→נמוך)
248,4363.0,0.1249,degree (גבוה→נמוך)
259,4355.0,0.1247,degree (גבוה→נמוך)
269,4348.0,0.1245,degree (גבוה→נמוך)
279,4344.0,0.1244,degree (גבוה→נמוך)
290,4338.0,0.1242,degree (גבוה→נמוך)
300,4333.0,0.124,degree (גבוה→נמוך)
0,4472.0,0.128,betweenness (גבוה→נמוך)
10,4462.0,0.1277,betweenness (גבוה→נמוך)
21,4451.0,0.1274,betweenness (גבוה→נמוך)
31,4441.0,0.1271,betweenness (גבוה→נמוך)
41,4431.0,0.1268,betweenness (גבוה→נמוך)
52,4420.0,0.1265,betweenness (גבוה→נמוך)
62,4410.0,0.1262,betweenness (גבוה→נמוך)
72,4400.0,0.126,betweenness (גבוה→נמוך)
83,4389.0,0.1256,betweenness (גבוה→נמוך)
93,4379.0,0.1254,betweenness (גבוה→נמוך)
103,4369.0,0.1251,betweenness (גבוה→נמוך)
114,4358.0,0.1248,betweenness (גבוה→נמוך)
124,4348.0,0.1245,betweenness (גבוה→נמוך)
134,4338.0,0.1242,betweenness (גבוה→נמוך)
145,4327.0,0.1239,betweenness (גבוה→נמוך)
155,4317.0,0.1236,betweenness (גבוה→נמוך)
166,4306.0,0.1233,betweenness (גבוה→נמוך)
176,4296.0,0.123,betweenness (גבוה→נמוך)
186,4286.0,0.1227,betweenness (גבוה→נמוך)
197,4275.0,0.1224,betweenness (גבוה→נמוך)
207,4265.0,0.1221,betweenness (גבוה→נמוך)
217,4255.0,0.1218,betweenness (גבוה→נמוך)
228,4244.0,0.1215,betweenness (גבוה→נמוך)
238,4234.0,0.1212,betweenness (גבוה→נמוך)
248,4224.0,0.1209,betweenness (גבוה→נמוך)
259,4213.0,0.1206,betweenness (גבוה→נמוך)
269,4203.0,0.1203,betweenness (גבוה→נמוך)
279,4193.0,0.12,betweenness (גבוה→נמוך)
290,4182.0,0.1197,betweenness (גבוה→נמוך)
300,4172.0,0.1194,betweenness (גבוה→נמוך)
0,4472.0,0.128,pagerank (גבוה→נמוך)
10,4469.0,0.1279,pagerank (גבוה→נמוך)
21,4467.0,0.1279,pagerank (גבוה→נמוך)
31,4463.0,0.1278,pagerank (גבוה→נמוך)
41,4441.0,0.1271,pagerank (גבוה→נמוך)
52,4438.0,0.127,pagerank (גבוה→נמוך)
62,4438.0,0.127,pagerank (גבוה→נמוך)
72,4437.0,0.127,pagerank (גבוה→נמוך)
83,4434.0,0.1269,pagerank (גבוה→נמוך)
93,4426.0,0.1267,pagerank (גבוה→נמוך)
103,4424.0,0.1266,pagerank (גבוה→נמוך)
114,4422.0,0.1266,pagerank (גבוה→נמוך)
124,4417.0,0.1264,pagerank (גבוה→נמוך)
134,4417.0,0.1264,pagerank (גבוה→נמוך)
145,4416.0,0.1264,pagerank (גבוה→נמוך)
155,4416.0,0.1264,pagerank (גבוה→נמוך)
166,4416.0,0.1264,pagerank (גבוה→נמוך)
176,4415.0,0.1264,pagerank (גבוה→נמוך)
186,4415.0,0.1264,pagerank (גבוה→נמוך)
197,4415.0,0.1264,pagerank (גבוה→נמוך)
207,4412.0,0.1263,pagerank (גבוה→נמוך)
217,4412.0,0.1263,pagerank (גבוה→נמוך)
228,4411.0,0.1263,pagerank (גבוה→נמוך)
238,4411.0,0.1263,pagerank (גבוה→נמוך)
248,4411.0,0.1263,pagerank (גבוה→נמוך)
259,4411.0,0.1263,pagerank (גבוה→נמוך)
269,4409.0,0.1262,pagerank (גבוה→נמוך)
279,4409.0,0.1262,pagerank (גבוה→נמוך)
290,4407.0,0.1262,pagerank (גבוה→נמוך)
300,4406.0,0.1261,pagerank (גבוה→נמוך)
0,4472.0,0.128,articulation points
10,4470.0,0.128,articulation points
21,4470.0,0.128,articulation points
31,4470.0,0.128,articulation points
41,4470.0,0.128,articulation points
52,4470.0,0.128,articulation points
62,4470.0,0.128,articulation points
72,4470.0,0.128,articulation points
83,4470.0,0.128,articulation points
93,4470.0,0.128,articulation points
103,4470.0,0.128,articulation points
114,4470.0,0.128,articulation points
124,4470.0,0.128,articulation points
134,4470.0,0.128,articulation points
145,4470.0,0.128,articulation points
155,4470.0,0.128,articulation points
166,4470.0,0.128,articulation points
176,4470.0,0.128,articulation points
186,4470.0,0.128,articulation points
197,4470.0,0.128,articulation points
207,4464.0,0.1278,articulation points
217,4459.0,0.1276,articulation points
228,4459.0,0.1276,articulation points
238,4459.0,0.1276,articulation points
248,4459.0,0.1276,articulation points
259,4459.0,0.1276,articulation points
269,4459.0,0.1276,articulation points
279,4459.0,0.1276,articulation points
290,4459.0,0.1276,articulation points
300,4457.0,0.1276,articulation points
0,4472.0,0.128,אקראי (baseline)
10,4470.8,0.128,אקראי (baseline)
21,4468.2,0.1279,אקראי (baseline)
31,4467.4,0.1279,אקראי (baseline)
41,4465.4,0.1278,אקראי (baseline)
52,4464.4,0.1278,אקראי (baseline)
62,4463.8,0.1278,אקראי (baseline)
72,4463.2,0.1278,אקראי (baseline)
83,4463.6,0.1278,אקראי (baseline)
93,4462.2,0.1277,אקראי (baseline)
103,4458.2,0.1276,אקראי (baseline)
114,4456.8,0.1276,אקראי (baseline)
124,4459.8,0.1277,אקראי (baseline)
134,4454.0,0.1275,אקראי (baseline)
145,4455.2,0.1275,אקראי (baseline)
155,4454.2,0.1275,אקראי (baseline)
166,4449.6,0.1274,אקראי (baseline)
176,4453.8,0.1275,אקראי (baseline)
186,4450.4,0.1274,אקראי (baseline)
197,4443.0,0.1272,אקראי (baseline)
207,4446.0,0.1273,אקראי (baseline)
217,4444.0,0.1272,אקראי (baseline)
228,4442.6,0.1272,אקראי (baseline)
238,4443.4,0.1272,אקראי (baseline)
248,4440.8,0.1271,אקראי (baseline)
259,4436.0,0.127,אקראי (baseline)
269,4439.8,0.1271,אקראי (baseline)
279,4429.4,0.1268,אקראי (baseline)
290,4440.4,0.1271,אקראי (baseline)
300,4431.8,0.1269,אקראי (baseline)
