community_louvain,stops,active_stops,total_stop_use_count,avg_stop_use_count,avg_socio_cluster,median_socio_cluster,dominant_socio_cluster,low_socio_stop_share,dominant_city,dominant_region,dominant_metro,socio_areas,covered_population_estimate,active_stop_share
25.0,1313,1313,474460.0,361.35567402894134,5.5118050266565115,6.0,7.0,0.2985529322162985,באר שבע,דרום,באר שבע,106,324840.88302646286,1.0
27.0,842,842,122815.0,145.86104513064134,5.794536817102138,6.0,7.0,0.22209026128266032,נהרייה,צפון,פריפריה,71,147659.0308805505,1.0
52.0,828,828,120442.0,145.46135265700482,5.8647342995169085,7.0,7.0,0.21256038647342995,קריית שמונה,צפון,פריפריה,99,125601.16507118527,1.0
34.0,820,820,444118.0,541.6073170731707,6.314634146341463,7.0,7.0,0.19146341463414634,נתניה,מרכז,תל אביב,124,299695.5967190784,1.0
63.0,806,806,151144.0,187.52357320099256,5.145161290322581,5.0,3.0,0.38089330024813894,אשבל,צפון,פריפריה,58,87481.01655882687,1.0
42.0,796,796,270951.0,340.39070351758795,5.131909547738694,5.5,7.0,0.36432160804020103,עפולה,צפון,פריפריה,97,156928.5353947888,1.0
1.0,788,788,191203.0,242.64340101522842,5.57994923857868,6.0,7.0,0.2563451776649746,קריית גת,מרכז,פריפריה,127,182172.2073907129,1.0
28.0,775,775,315471.0,407.0593548387097,5.838709677419355,6.0,7.0,0.33806451612903227,רמלה,מרכז,תל אביב,90,260136.6211773544,1.0
48.0,741,741,324186.0,437.497975708502,3.9581646423751686,4.0,3.0,0.6977058029689609,נוף הגליל,צפון,פריפריה,34,122785.14534383401,1.0
29.0,663,663,496560.0,748.9592760180996,5.624434389140271,6.0,7.0,0.29411764705882354,ירושלים,ירושלים,ירושלים,65,181419.96336565836,1.0
32.0,660,660,173747.0,263.2530303030303,7.960606060606061,8.0,9.0,0.010606060606060607,כפר סבא,מרכז,תל אביב,71,210160.64588685494,1.0
6.0,659,659,496002.0,752.6585735963581,4.036418816388467,5.0,1.0,0.456752655538695,ירושלים,ירושלים,ירושלים,72,296648.7342292379,1.0
43.0,643,643,393105.0,611.3608087091758,7.244167962674961,7.0,7.0,0.03110419906687403,ראשון לציון,מרכז,תל אביב,75,308345.35902260954,1.0
56.0,638,638,159469.0,249.9514106583072,5.440438871473354,6.0,5.0,0.2304075235109718,שדרות,דרום,פריפריה,84,112908.02457117995,1.0
33.0,597,597,214311.0,358.97989949748745,8.28140703517588,9.0,9.0,0.005025125628140704,הרצלייה,מרכז,תל אביב,72,245362.04202925687,1.0
4.0,574,574,677432.0,1180.1951219512196,4.334494773519164,3.0,2.0,0.554006968641115,ירושלים,ירושלים,ירושלים,111,151508.3970750962,1.0
54.0,566,566,214954.0,379.7773851590106,4.696113074204947,5.0,2.0,0.3621908127208481,טבריה,צפון,פריפריה,64,79141.33704309753,1.0
49.0,563,563,475546.0,844.664298401421,6.477797513321492,7.0,8.0,0.1349911190053286,פתח תקווה,מרכז,תל אביב,84,270681.20874717215,1.0
70.0,555,555,170496.0,307.2,4.864864864864865,5.0,5.0,0.409009009009009,כרמיאל,צפון,פריפריה,38,95280.6257665745,1.0
62.0,550,550,161494.0,293.62545454545455,7.2690909090909095,8.0,8.0,0.04181818181818182,פרדס חנה-כרכור,צפון,פריפריה,54,113627.82247075517,1.0
36.0,542,542,340110.0,627.509225092251,4.981549815498155,5.0,7.0,0.36900369003690037,אשדוד,מרכז,פריפריה,63,234633.70302071233,1.0
68.0,517,517,427010.0,825.9381044487427,2.622823984526112,2.0,2.0,0.8278529980657641,בית שמש,ירושלים,פריפריה,25,142557.9529585235,1.0
71.0,515,515,195939.0,380.4640776699029,5.052427184466019,5.0,5.0,0.29320388349514565,אשקלון,מרכז,פריפריה,41,153899.578004516,1.0
10.0,512,512,803029.0,1568.416015625,7.30859375,9.0,9.0,0.1328125,תל אביב -יפו,מרכז,תל אביב,138,200693.50661270902,1.0
12.0,512,512,431899.0,843.552734375,8.064453125,9.0,9.0,0.025390625,רמת גן,מרכז,תל אביב,97,276641.41914360196,1.0
41.0,512,512,254190.0,496.46484375,5.86328125,5.0,5.0,0.072265625,חדרה,מרכז,פריפריה,43,138457.92133330507,1.0
55.0,476,476,184533.0,387.67436974789916,6.773109243697479,7.0,8.0,0.13865546218487396,רחובות,מרכז,תל אביב,60,190261.77656080766,1.0
21.0,466,466,332252.0,712.9871244635193,5.444206008583691,5.0,7.0,0.30257510729613735,חיפה,צפון,חיפה,52,166502.67880309705,1.0
18.0,462,462,425464.0,920.9177489177489,5.759740259740259,6.0,8.0,0.3658008658008658,חיפה,צפון,חיפה,59,98322.33920674847,1.0
20.0,441,441,109218.0,247.65986394557822,5.199546485260771,5.0,5.0,0.2471655328798186,עכו,צפון,חיפה,39,80296.337832917,1.0
31.0,436,436,525482.0,1205.2339449541284,5.1307339449541285,5.0,5.0,0.286697247706422,תל אביב -יפו,מרכז,תל אביב,90,242656.48673296522,1.0
14.0,407,407,312705.0,768.3169533169533,6.511056511056511,7.0,9.0,0.1769041769041769,חיפה,צפון,חיפה,40,99742.94636486282,1.0
19.0,398,398,91621.0,230.2035175879397,6.223618090452261,5.5,9.0,0.34673366834170855,עדי,צפון,חיפה,6,32955.13092397767,1.0
60.0,387,387,216166.0,558.5684754521964,5.038759689922481,6.0,2.0,0.42377260981912146,נשר,צפון,חיפה,34,55745.553670960086,1.0
50.0,385,385,158854.0,412.6077922077922,6.496103896103896,7.0,8.0,0.17142857142857143,ראש העין,מרכז,תל אביב,23,93932.66121853124,1.0
37.0,383,383,140014.0,365.5718015665796,8.381201044386422,8.0,8.0,0.020887728459530026,מודיעין-מכבים-רעות*,מרכז,תל אביב,33,110458.6408420237,1.0
11.0,372,372,590742.0,1588.016129032258,4.911290322580645,3.0,2.0,0.5456989247311828,בני ברק,מרכז,תל אביב,86,293196.3157601855,1.0
66.0,356,356,50423.0,141.6376404494382,5.98876404494382,7.0,7.0,0.1797752808988764,אילת,דרום,פריפריה,43,61835.2402991335,1.0
58.0,347,347,98779.0,284.6657060518732,5.585014409221902,6.0,6.0,0.2219020172910663,אריאל,מרכז,פריפריה,36,95697.26601010459,1.0
45.0,332,332,125402.0,377.7168674698795,3.9066265060240966,3.0,3.0,0.6867469879518072,מגדל העמק,צפון,פריפריה,25,48457.489937048806,1.0
2.0,331,331,487818.0,1473.7703927492448,3.0604229607250755,2.0,2.0,0.6888217522658611,ירושלים,ירושלים,ירושלים,45,152661.0453979419,1.0
38.0,331,331,306308.0,925.4018126888218,4.111782477341389,4.0,4.0,0.6404833836858006,ירושלים,ירושלים,ירושלים,37,110635.99367708444,1.0
3.0,320,320,143703.0,449.071875,4.725,6.0,7.0,0.453125,מעלה אדומים,מרכז,ירושלים,31,109825.10320828002,1.0
24.0,318,318,100914.0,317.33962264150944,4.232704402515723,4.0,4.0,0.6257861635220126,דימונה,דרום,פריפריה,14,40543.45006230293,1.0
9.0,316,316,334736.0,1059.2911392405063,2.9841772151898733,2.0,1.0,0.7341772151898734,ביתר עילית,מרכז,ירושלים,18,82543.14573515732,1.0
64.0,314,314,283018.0,901.3312101910828,2.984076433121019,2.0,1.0,0.6910828025477707,מודיעין עילית,מרכז,תל אביב,34,104271.03854761086,1.0
15.0,307,307,270963.0,882.6156351791531,5.710097719869707,6.0,6.0,0.2671009771986971,חיפה,צפון,חיפה,34,73340.46122106744,1.0
59.0,298,298,98491.0,330.50671140939596,4.456375838926174,5.0,3.0,0.48322147651006714,אופקים,דרום,באר שבע,38,48804.629607249764,1.0
17.0,295,295,92661.0,314.1050847457627,3.9389830508474577,3.0,2.0,0.5423728813559322,צפת,צפון,פריפריה,28,51723.58487860281,1.0
65.0,286,286,31524.0,110.22377622377623,1.7587412587412588,2.0,2.0,0.993006993006993,רהט,דרום,באר שבע,13,76059.1145350823,1.0
35.0,281,281,328043.0,1167.4128113879003,8.306049822064058,9.0,9.0,0.03202846975088968,תל אביב -יפו,מרכז,תל אביב,79,131906.8307462963,1.0
30.0,279,279,225535.0,808.3691756272401,6.297491039426523,6.0,6.0,0.021505376344086023,חולון,מרכז,תל אביב,52,155239.7865466874,1.0
0.0,264,264,63369.0,240.0340909090909,6.71969696969697,7.0,7.0,0.11742424242424243,יבנה,מרכז,תל אביב,28,65103.16113974589,1.0
26.0,248,248,77056.0,310.7096774193548,2.721774193548387,3.0,1.0,0.7741935483870968,ערד,דרום,פריפריה,12,55181.64857077235,1.0
23.0,222,222,42323.0,190.64414414414415,5.333333333333333,6.0,6.0,0.32882882882882886,בית שאן,מרכז,פריפריה,47,41647.42003546968,1.0
67.0,212,212,33323.0,157.18396226415095,8.316037735849056,9.0,9.0,0.0,אבן יהודה,מרכז,תל אביב,23,64661.63499150213,1.0
22.0,209,209,152200.0,728.2296650717703,5.416267942583732,5.0,5.0,0.13875598086124402,קריית אתא,צפון,חיפה,17,56119.57823904573,1.0
40.0,209,209,70548.0,337.55023923444975,6.698564593301436,7.0,8.0,0.0861244019138756,יקנעם עילית,צפון,חיפה,22,34928.640794935214,1.0
