socio_cluster,socio_areas,population,stops,active_stops,total_stop_use_count,median_area_stops_per_1000,median_area_stop_use_count_per_1000,mean_area_proximity_degree,mean_area_critical_stop_share,active_stop_share,stops_per_1000_residents,stop_use_count_per_1000_residents,stop_use_count_per_stop
1,76,651170.1814916064,1367,1204,897643.0,2.152541679485929,1387.4366900033228,22.665536679402518,0.07458035890275318,0.880760790051207,2.099297601233328,1378.5075323071603,656.6517922457937
2,222,960323.422417765,3602,3092,2438424.0,3.188506789049221,1677.4049637816724,20.938280937486308,0.15728144827817073,0.858411993337035,3.750819688362281,2539.1695579608845,676.9639089394781
3,228,778020.661444583,3594,3119,1581797.0,3.9386933761442546,1459.9421565313169,16.145468997154644,0.12464647601218867,0.8678352810239288,4.619414596685482,2033.1041042830566,440.121591541458
4,165,541840.235966942,2375,2053,988570.0,3.2316626030856637,1381.0077753226183,16.599551691558133,0.17466097712904452,0.864421052631579,4.3832108476803855,1824.4676832384837,416.24
5,360,1141202.50014788,5067,4422,2442289.0,3.479088534655455,1402.4738172768216,17.065956313131608,0.20729218464230217,0.8727057430432208,4.440053364186816,2140.101340194682,481.9990132228143
6,299,789034.3217798515,3847,3394,1706795.0,3.7742242809186504,1146.1367205065314,12.819093409056553,0.18992329366878125,0.8822459059007018,4.875580052490228,2163.1441787600884,443.66909279958406
7,627,1595492.4512766134,6781,5894,2167283.0,4.35683144205918,810.5088374005087,9.86716305895328,0.1809415197302634,0.8691933343164725,4.25009845366192,1358.37872392682,319.61111930393747
8,363,1010704.4082847071,3711,3322,1577156.0,3.6012815227649866,885.3991978193692,10.160604529256707,0.16205820802419385,0.8951765022904877,3.6716966598553133,1560.4522816682204,424.9948800862301
9,343,1005661.240964723,3951,3437,1699398.0,3.270221897119797,915.8010458601386,12.251859507193913,0.32183856734883887,0.8699063528220704,3.9287583522755996,1689.831456932536,430.11845102505697
10,10,27349.31925053255,146,126,123297.0,4.773688465428962,983.2290810496379,11.387127433969539,0.3680952380952381,0.863013698630137,5.338341282376053,4508.229212966577,844.5
