community_louvain,dominant_city,dominant_region,dominant_metro,n_neighborhoods,n_stops,population,mean_socio_cluster,socio_cluster_spread,rho_use_per_capita,p_use_per_capita,rho_stops_per_capita,p_stops_per_capita,rho_stop_level_use,p_stop_level_use,abs_rho,significant_05
64,מודיעין עילית,מרכז,תל אביב,21,314,104271.03854761086,3.857142857142857,8,-0.7286763824165376,0.0001794488968488432,0.3753383378778689,0.09361287235588417,-0.5127551473598116,1.876246543692905e-22,0.7286763824165376,True
9,ביתר עילית,מרכז,ירושלים,17,316,82543.14573515732,4.470588235294118,5,-0.7052147153557315,0.0015664206521126853,0.26114391069523507,0.31133774305549283,-0.5880760598954498,8.794312793972868e-31,0.7052147153557315,True
0,יבנה,מרכז,תל אביב,24,264,65103.16113974589,7.5,7,-0.553564866435638,0.0050130374982657565,-0.008545598281167651,0.9683878018094052,-0.4474298359193664,2.1200032460332698e-14,0.553564866435638,True
34,נתניה,מרכז,תל אביב,100,820,299695.5967190784,6.3,8,-0.4750722929497304,5.907029272717037e-07,0.2903902988977688,0.003380618380547303,-0.436698331480769,1.654396076025603e-39,0.4750722929497304,True
56,נתיבות,דרום,פריפריה,72,638,112908.02457117995,5.972222222222222,9,-0.4554201063147961,5.8282189026238816e-05,-0.005036371734083134,0.9665087754604779,-0.5395887731961692,1.7435716585731878e-49,0.4554201063147961,True
71,אשקלון,מרכז,פריפריה,37,515,153899.578004516,4.972972972972973,8,-0.3934263122482764,0.015995009321450766,-0.07494982120013106,0.6593032819965549,-0.1117414602810319,0.011161322034339229,0.3934263122482764,True
17,צפת,צפון,פריפריה,26,295,51723.58487860281,4.576923076923077,8,-0.37751521247235487,0.057259410305068786,0.34759234770496084,0.0818702119210408,-0.6263977907491534,1.4850449109939528e-33,0.37751521247235487,False
36,אשדוד,מרכז,פריפריה,60,542,234633.70302071233,4.983333333333333,7,-0.36549524635662134,0.004083551520595287,0.025512912179458766,0.8465702013077441,-0.3402299600588691,3.7347910598906697e-16,0.36549524635662134,True
4,ירושלים,ירושלים,ירושלים,70,574,151508.39707509623,4.942857142857143,9,-0.36336876317673744,0.0019891681458028623,0.2620901745204019,0.028394695671945514,-0.38360723905884486,1.4581666661667264e-21,0.36336876317673744,True
18,חיפה,צפון,חיפה,35,462,98322.33920674847,5.714285714285714,9,-0.3456849734720693,0.04195007538890346,-0.06296758624440066,0.7193338538919056,-0.3192060203064547,2.107876931551036e-12,0.3456849734720693,True
27,נהרייה,צפון,פריפריה,65,842,147659.03088055048,6.292307692307692,8,-0.3421529189880039,0.005275089452347174,-0.16598902760853554,0.18634525364624097,-0.29169853194393264,5.606174366450379e-18,0.3421529189880039,True
55,רחובות,מרכז,תל אביב,51,476,190261.77656080766,6.9411764705882355,7,-0.326752537336101,0.019269812588931026,-0.08226519094842215,0.5660351006326757,-0.16474843357743324,0.0003066337202719228,0.326752537336101,True
59,אופקים,דרום,פריפריה,35,298,48804.62960724977,5.942857142857143,8,-0.32573097345962065,0.05619649478964884,0.07669327152885248,0.6614649823423904,-0.5566341384568835,1.2066795868149918e-25,0.32573097345962065,False
