stop_id,stop_name,region,metro,community_louvain,lat,lon,degree,stop_use_count,has_service_count,is_critical,socio_join_method,socio_join_distance_m,socio_unit_id,socio_locality,socio_cluster,socio_cluster_group,socio_index_value,socio_population
1,בי''ס בר לב/בן יהודה,מרכז,תל אביב,-1,32.183985,34.917554,10,10.0,True,False,within,0.0,69000016,כפר סבא,8,high_8_10,1.36112841593032,1674.46911765434
2,הרצל/צומת בילו,מרכז,תל אביב,-1,31.869152,34.819641,13,395.0,True,False,nearest,4.224524933699704,4690002,קריית עקרון,6,middle_5_7,0.226393209086879,4614.18989259786
3,מרכז ראשונים/הנחשול,מרכז,תל אביב,9,31.984553,34.782828,16,414.0,True,True,within,0.0,83000515,ראשון לציון,8,high_8_10,1.33383940472575,2486.5283125125
4,משה פריד/יצחק משקה,מרכז,תל אביב,-1,31.888325,34.7907,23,0.0,False,False,within,0.0,84000431,רחובות,7,middle_5_7,0.750865679973594,9804.88249333242
6,ת. מרכזית לוד/הורדה,מרכז,תל אביב,7,31.956392,34.898098,18,1032.0,True,False,within,0.0,70000014,לוד,2,low_1_4,-1.16716616532097,3942.92969371834
7,חנה אברך/וולקני,מרכז,תל אביב,-1,31.892166,34.796071,14,132.0,True,False,within,0.0,84000431,רחובות,7,middle_5_7,0.750865679973594,9804.88249333242
8,הרצל/משה שרת,מרכז,תל אביב,-1,31.857565,34.824106,10,333.0,True,False,within,0.0,4690004,קריית עקרון,4,low_1_4,-0.392318728566195,2867.42462086828
9,הבנים/אלי כהן,מרכז,תל אביב,-1,31.862305,34.821857,14,333.0,True,False,within,0.0,4690003,קריית עקרון,5,middle_5_7,-0.0131218101465742,3562.43881328861
10,ויצמן/הבנים,מרכז,תל אביב,-1,31.865085,34.822237,17,333.0,True,False,within,0.0,4690003,קריית עקרון,5,middle_5_7,-0.0131218101465742,3562.43881328861
11,האירוס/הכלנית,מרכז,תל אביב,-1,31.865222,34.818957,19,20.0,True,False,within,0.0,4690002,קריית עקרון,6,middle_5_7,0.226393209086879,4614.18989259786
12,הכלנית/הנרקיס,מרכז,תל אביב,-1,31.867597,34.818392,18,20.0,True,False,within,0.0,4690002,קריית עקרון,6,middle_5_7,0.226393209086879,4614.18989259786
14,אלי כהן/לוחמי הגטאות,מרכז,תל אביב,-1,31.86244,34.827023,11,37.0,True,False,within,0.0,4690003,קריית עקרון,5,middle_5_7,-0.0131218101465742,3562.43881328861
15,שבזי/שבת אחים,מרכז,תל אביב,-1,31.863501,34.828702,5,37.0,True,False,within,0.0,4690003,קריית עקרון,5,middle_5_7,-0.0131218101465742,3562.43881328861
16,שבזי/ויצמן,מרכז,תל אביב,-1,31.865348,34.827102,10,37.0,True,False,within,0.0,4690003,קריית עקרון,5,middle_5_7,-0.0131218101465742,3562.43881328861
17,חיים ברלב/שדרות יצחק רבין,מרכז,תל אביב,5,31.978011,34.764342,13,249.0,True,True,within,0.0,83000615,ראשון לציון,7,middle_5_7,1.01468621075741,5040.00545406042
18,מרכז לבריאות הנפש לב השרון,מרכז,תל אביב,-1,32.300345,34.912708,14,97.0,True,False,within,0.0,2760001,צור משה,9,high_8_10,1.58927968393746,3088.59364626596
19,מרכז לבריאות הנפש לב השרון,מרכז,תל אביב,-1,32.301347,34.912602,14,94.0,True,False,within,0.0,2760001,צור משה,9,high_8_10,1.58927968393746,3088.59364626596
21,אנדרטה לנופלים/עמנואל הלזנר,מרכז,תל אביב,-1,31.852746,34.836175,8,0.0,False,False,within,0.0,280001,מזכרת בתיה,8,high_8_10,1.29412312978528,15397.9678703347
22,הולצמן/המדע,מרכז,תל אביב,-1,31.914255,34.807944,13,874.0,True,False,nearest,470.9724390793973,84000113,רחובות,7,middle_5_7,0.486354260435779,517.805425112868
24,מחנה צריפין/מועדון,מרכז,תל אביב,4,31.963668,34.836363,10,28.0,True,True,within,0.0,83000126,ראשון לציון,7,middle_5_7,0.772444034729161,9070.42515399294
