community_id,size,internal_edges,centroid_lat,centroid_lon
25,1334,1961,31.2603,34.8176
52,854,1346,33.0783,35.6298
27,842,1245,33.0238,35.2142
34,820,1302,32.3186,34.895
42,820,1204,32.5881,35.2629
63,812,1200,32.828,35.3156
1,788,1321,31.6714,34.7765
28,775,1381,31.9574,34.8895
48,741,1147,32.7171,35.3127
29,665,1042,31.7385,35.1739
32,662,1068,32.1994,34.9405
6,659,931,31.7528,35.2287
43,643,1135,31.9636,34.7926
56,638,985,31.4823,34.5998
33,597,968,32.1688,34.8482
4,574,1071,31.7963,35.1108
54,571,939,32.7547,35.5295
49,563,958,32.0873,34.8835
70,559,877,32.9342,35.3136
62,550,825,32.5467,34.9625
36,543,944,31.7905,34.6506
68,517,819,31.7237,34.9872
71,515,773,31.667,34.5753
41,514,823,32.4458,34.956
12,512,879,32.0626,34.8373
10,512,1019,32.1037,34.7982
55,476,827,31.8826,34.8127
21,466,663,32.8392,35.0793
18,462,675,32.8093,34.9955
20,441,647,32.9412,35.14
66,437,670,29.9396,35.0279
31,436,691,32.0293,34.7578
14,407,632,32.7822,35.0082
19,404,625,32.824,35.186
60,387,599,32.7569,35.0802
50,385,679,32.1075,34.9611
37,383,695,31.9027,35.0032
11,372,868,32.0931,34.8303
58,351,631,32.1434,35.1375
38,335,471,31.8691,35.2513
45,332,461,32.6818,35.2595
2,331,560,31.8241,35.1934
3,322,415,31.7919,35.2906
24,320,501,31.0471,35.0059
9,317,498,31.7012,35.0965
64,316,547,31.9469,35.0459
15,307,402,32.7922,34.9683
59,300,466,31.2875,34.5534
17,295,548,32.982,35.4921
65,286,387,31.3893,34.7558
35,281,451,32.1471,34.8052
30,279,444,32.0145,34.7898
0,264,425,31.8752,34.7415
26,248,408,31.2552,35.1581
23,235,331,32.3571,35.4817
67,212,395,32.2701,34.9058
39,211,292,32.406,35.0336
22,209,276,32.8049,35.11
40,209,307,32.6444,35.0945
13,186,266,32.7163,35.13
57,175,249,32.0233,34.8709
72,165,199,32.7041,35.0567
16,157,223,30.8261,34.7326
7,155,205,31.7941,35.1331
61,131,157,32.5221,35.1495
8,130,166,32.5045,34.9146
53,110,124,31.8409,35.2247
51,108,177,32.0505,34.9563
47,107,146,31.7892,34.7186
5,91,127,31.811,35.2633
44,60,81,31.4929,35.1074
46,39,39,31.7424,35.2016
69,27,28,31.8218,35.1249
