stop_id,stop_name,own_community,connected_communities,degree,lat,lon
13712,כיכר המדינה/תש''ח,18,3,15,32.0857,34.788878
12841,ארלוזורוב/משה שרת,18,3,17,32.084075,34.787875
43652,כיכר המדינה/אריה עקיבא,32,3,15,32.087673,34.790814
13714,כיכר המדינה/וייצמן,32,3,15,32.088024,34.789598
13713,כיכר המדינה/ויצמן,18,3,16,32.084855,34.78948
13822,עליית הנוער/נחלת יצחק,18,2,19,32.074097,34.801249
13321,המסגר/לה גווארדייה,18,2,23,32.059809,34.784515
13322,המסגר/הרכב,18,2,27,32.06366,34.78558
13333,דרך ז'בוטינסקי/קריניצי,12,2,20,32.090278,34.820649
15867,קופת חולים/רוטשילד,23,2,12,32.081332,34.883612
44469,חוף בוגרשוב/טיילת,35,2,9,32.078216,34.766845
44468,הירקון/טרומפלדור,11,2,17,32.07536,34.766633
44467,הירקון/אלנבי,11,2,15,32.073731,34.766306
13709,גימנסיה הרצליה/ז'בוטינסקי,35,2,19,32.087572,34.785904
44464,חוף בוגרשוב/הירקון,35,2,12,32.078377,34.767699
13295,הרכבת/סלומון,11,2,33,32.062007,34.780752
24064,דב הוז/גבעתי,16,2,13,32.023453,34.762392
24069,דב הוז/המעפילים,16,2,12,32.023474,34.764737
24070,דב הוז/המעפילים,16,2,12,32.023234,34.764536
15388,הנשיא/אוסישקין,15,2,14,32.05958,34.852717
15387,הנשיא / שד' יעל,15,2,12,32.059621,34.852473
15386,הנשיא / העמל,15,2,15,32.059151,34.850779
15385,הנשיא/שד. יהודית,15,2,15,32.05925,34.850796
13298,אלנבי/גאולה,11,2,33,32.071397,34.769613
47420,גאולה/הכובשים,11,2,27,32.071642,34.767849
47416,גימנסיה הרצליה/רמז,35,2,19,32.087197,34.786096
14584,לבנדה/מירון,3,2,97,32.057493,34.783211
16331,שטמפפר/המכבים,19,2,20,32.094824,34.892085
16330,שטמפפר/אברבנל,19,2,28,32.094107,34.89133
16320,טרומפלדור/דגל ראובן,1,2,20,32.081192,34.878347
13122,דרך מנחם בגין/הגליל,11,2,46,32.061823,34.777831
16319,טרומפלדור/דגל ראובן,1,2,18,32.080922,34.878103
49092,אליפלט,25,2,16,32.058423,34.763033
23878,משטרת ראשל''צ/ז'בוטינסקי,21,2,9,31.973526,34.797117
23879,משטרת ראשל''צ/ז'בוטינסקי,21,2,8,31.974784,34.79675
13148,שדרות הר ציון/דרך קיבוץ גלויות,11,2,21,32.049738,34.773631
13167,סלומון/הרכבת,11,2,37,32.061639,34.780191
48658,אליפלט,25,2,16,32.058423,34.763033
47438,טרומפלדור/בן יהודה,11,2,17,32.075514,34.767296
47432,הרכבת/המסגר,3,2,26,32.059556,34.783556
13268,מחלף לה גווארדייה,18,2,19,32.059174,34.786171
47429,הגליל/השרון,11,2,43,32.061029,34.778487
47424,הירקון/יונה הנביא,11,2,17,32.073094,34.76607
13277,המסגר/יד חרוצים,18,2,31,32.061845,34.784745
13496,דרך שלמה/אבולעפיה,11,2,25,32.054789,34.769417
43205,דרך קיבוץ גלויות/שד' הר ציון,11,2,22,32.049855,34.773002
43268,תחנת מוניות תל אביב מגדל האופרה,11,2,17,32.073313,34.766392
49134,אליפלט,25,2,16,32.058423,34.763033
25240,אברבנאל/זרח ברנט,19,2,15,32.092459,34.893599
13647,מגדלי תל אביב/נחלת יצחק,18,2,19,32.074579,34.798057
13648,עמק ברכה/בנימיני,18,2,17,32.076216,34.798903
13939,ת.רק''ל ביאליק/דרך ז'בוטינסקי,29,2,19,32.087949,34.814065
13934,הרצל/דרך ז'בוטינסקי,29,2,16,32.087636,34.814894
37292,תל אביב ההגנה,3,2,29,32.053978,34.784839
37040,המסגר/לה גווארדיה,18,2,23,32.05997,34.784339
13708,גימנסיה הרצליה/ז'בוטינסקי,35,2,18,32.087558,34.784929
13710,ארלוזורוב/ויצמן,18,2,17,32.083353,34.790102
13720,בית החייל/ויצמן,32,2,16,32.090607,34.790476
13721,בית החייל/ויצמן,32,2,16,32.09063,34.790677
13726,ז'בוטינסקי/כיכר המדינה,29,2,17,32.0864,34.792221
13727,ז'בוטינסקי/דרך נמיר,29,2,49,32.085849,34.794018
35230,מועדון גמלאים נשלסק/וינגייט,8,2,18,32.063956,34.853526
29310,המסגר/יד חרוצים,18,2,28,32.061291,34.784847
13786,דרך משה דיין/לה גווארדייה,20,2,13,32.058606,34.800238
29482,ת. רכבת ההגנה/החרש,3,2,98,32.055692,34.783286
13632,המסגר/ריב''ל,18,2,31,32.062018,34.785025
13629,לה גווארדייה/הגיבור האלמוני,20,2,11,32.059086,34.798466
38668,תחנת מוניות תל אביב הירקון,35,2,11,32.078128,34.76762
13554,טרומפלדור/פינסקר,18,2,26,32.075167,34.770528
42682,תנועת המרי/קפלן,12,2,17,32.062687,34.84894
42681,יגאל אלון/עמק האלה,12,2,15,32.06265,34.846253
14370,הרכבת/סלומון,11,2,32,32.061644,34.780784
13539,ראש פינה/הרכבת,3,2,105,32.058653,34.782159
13546,ביה''ס בלפור/בלפור,11,2,35,32.068107,34.772551
42261,אחדות העבודה/הפועל הצעיר,20,2,15,32.076684,34.804474
13549,הכובשים/אלנבי,11,2,25,32.072597,34.767787
13556,בוגרשוב/פינסקר,18,2,17,32.076306,34.770873
25210,אברבנאל / אצ''ל,19,2,16,32.09296,34.892105
14326,ראש פינה/הגדוד העברי,3,2,109,32.057814,34.77997
13562,כיכר דיזנגוף/פינסקר,18,2,21,32.077087,34.773089
39962,ישראל טל/המסגר,18,2,32,32.063351,34.785067
38976,מקווה ישראל/לבונטין,11,2,46,32.062716,34.77689
13606,דרך ההגנה/המעפילים,24,2,18,32.054146,34.787909
13607,דרך ההגנה/המעפילים,24,2,18,32.054313,34.787996
13609,שוק התקווה/דרך ההגנה,24,2,13,32.053996,34.789975
16332,מרכז קהילתי דני/שטמפפר,19,2,19,32.095287,34.893149
