target_stop,target_name,rank,similar_stop,similar_name,cosine_similarity
38725,ת. רכבת יבנה מערב,1,15746,שד. ירושלים/שד. הסנהדרין,0.9787
38725,ת. רכבת יבנה מערב,2,16159,שד. הסנהדרין/שד. ירושלים,0.972
38725,ת. רכבת יבנה מערב,3,47890,ת. מרכזית יבנה/רציפים,0.953
38725,ת. רכבת יבנה מערב,4,15582,שד. הסנהדרין/שד. ירושלים,0.9496
38725,ת. רכבת יבנה מערב,5,16446,שידלובסקי/פארן,0.9476
38725,ת. רכבת יבנה מערב,6,47894,ת. מרכזית יבנה/רציפים,0.9409
38725,ת. רכבת יבנה מערב,7,16462,שדרות ירושלים/הקישון,0.9308
38725,ת. רכבת יבנה מערב,8,48089,ת. מרכזית יבנה/רציפים,0.9246
38725,ת. רכבת יבנה מערב,9,15747,שדרות ירושלים/רוזמרין,0.9191
38725,ת. רכבת יבנה מערב,10,14600,ת. מרכזית יבנה,0.9143
22160,יהלום/גינות זבולון,1,23048,מרדכי (מוטה) גור/דוד אלעזר,0.9874
22160,יהלום/גינות זבולון,2,22159,אודם/יהלום,0.9843
22160,יהלום/גינות זבולון,3,22158,תרשיש/אבני חושן,0.9738
22160,יהלום/גינות זבולון,4,23047,דוד אלעזר /מרדכי מקלף,0.9633
22160,יהלום/גינות זבולון,5,121,חיים ברלב/מרדכי מקלף,0.9615
22160,יהלום/גינות זבולון,6,23049,מרדכי (מוטה) גור/חטיבת הראל,0.9409
22160,יהלום/גינות זבולון,7,22157,לשם/תכלת,0.9383
22160,יהלום/גינות זבולון,8,23046,חיים ברלב/משה דיין,0.923
22160,יהלום/גינות זבולון,9,22156,תכלת/מגדל המנורה,0.8981
22160,יהלום/גינות זבולון,10,23187,עמק בית שאן /יעקב דורי,0.897
20740,צומת עוקף עפולה,1,47912,ת.מרכזית עפולה/רציפים,0.9036
20740,צומת עוקף עפולה,2,19821,צומת מגידו,0.8698
20740,צומת עוקף עפולה,3,4763,מסעף מחנה עמוס,0.8688
20740,צומת עוקף עפולה,4,4745,הבנים/שרה מלכין,0.8617
20740,צומת עוקף עפולה,5,4744,מסעף כפר גדעון,0.8605
20740,צומת עוקף עפולה,6,4725,מסעף בלפוריה,0.8584
20740,צומת עוקף עפולה,7,4970,הבנים/הקונגרס הציוני,0.8433
20740,צומת עוקף עפולה,8,47858,ת.מרכזית עפולה/רציפים,0.8363
20740,צומת עוקף עפולה,9,4505,עיריית עפולה/הבנים,0.8337
20740,צומת עוקף עפולה,10,4875,צומת הסרגל,0.833
41746,ספיר/ברקת,1,41745,ספיר/שוהם,0.9973
41746,ספיר/ברקת,2,41744,לשם/שוהם,0.9958
41746,ספיר/ברקת,3,41748,ברקת/ספיר,0.9867
41746,ספיר/ברקת,4,41747,ברקת/נופך,0.9777
41746,ספיר/ברקת,5,7215,מלון נווה אורנים,0.9462
41746,ספיר/ברקת,6,18592,מרכז מסחרי/בת הרים,0.8747
41746,ספיר/ברקת,7,18588,פארק חלוואני,0.8552
41746,ספיר/ברקת,8,7214,פארק חלואני,0.8495
41746,ספיר/ברקת,9,18602,בת הרים/הר אדיר,0.8479
41746,ספיר/ברקת,10,6247,בית ספר ממלכתי ב,0.8333
44620,אילן רמון/הרב אלישע וישליצקי,1,50945,אדמונית החורש/הרב חיים פינטו,0.9862
44620,אילן רמון/הרב אלישע וישליצקי,2,48820,אילן רמון/אלי כהן,0.985
44620,אילן רמון/הרב אלישע וישליצקי,3,44626,אדמונית החורש/נחל הירדן,0.9672
44620,אילן רמון/הרב אלישע וישליצקי,4,44629,בי''ס הרוא''ה/אדמונית החורש,0.9391
44620,אילן רמון/הרב אלישע וישליצקי,5,27577,המעפילים/דניאל,0.9295
44620,אילן רמון/הרב אלישע וישליצקי,6,44591,אלי מויאל/דוד המלך,0.9238
44620,אילן רמון/הרב אלישע וישליצקי,7,50958,אדמונית החורש/אריאל שרון,0.8949
44620,אילן רמון/הרב אלישע וישליצקי,8,50961,הרב יורם אברג'ל/הצדיק באבא יגו,0.8597
44620,אילן רמון/הרב אלישע וישליצקי,9,43421,אריאל שרון/הרב שלום משאש,0.8357
44620,אילן רמון/הרב אלישע וישליצקי,10,50952,הרב יורם אברג'ל/האקדמיה,0.8247
